shift,start,driver,trailer,start_load,end_load,ops,customers,sources,layovers,window_slack,starts_without_source,starts_with_loaded_trailer,multi_reload,source_after_customer,partial_source_load,handoff_from_previous_driver
44,7548,12,1,7.275957614183426e-12,22261.9056911155,9,198 31 312 219 174 72,3,0,7548,False,False,True,True,True,False
45,7555,5,8,20400.000851495006,7.275957614183426e-12,4,287 127 88,1,0,7555,True,True,False,True,False,False
46,7770,7,12,20642.8580044889,20642.858004488917,5,223 115 203 13,1,0,7770,True,True,False,True,False,False
47,7853,6,4,20076.1913141696,1374.1913141696168,2,18 77,0,0,7853,True,True,False,False,False,False
48,7932,10,7,1.000444171950221e-11,-1.6370904631912708e-11,5,206 268 273 107,1,0,7932,False,False,False,False,False,False
49,8034,8,0,1088.2404556364895,394.0892185910502,3,199 109,1,0,8034,False,False,False,False,True,False
50,8226,2,3,0.0,0.0,2,123,1,0,8226,False,False,False,False,False,False
51,8446,0,5,-9.094947017729282e-13,4857.143059879752,8,138 22 180 126 170,3,0,8446,False,False,True,True,False,False
52,8474,1,9,721.1371406067883,-2.1827872842550278e-11,2,16,1,0,8474,False,False,False,False,True,False
53,8776,3,13,0.0,23095.71524972821,8,20 204 276 248 195 168,2,1,8776,False,False,True,True,False,False
54,8852,4,14,4857.14305987975,2.5863755581667647e-12,9,92 220 53 213 34 286 153 325,1,0,8852,True,True,False,True,False,False
55,8919,11,6,22261.905691115495,-3.637978807091713e-12,7,316 88 50 230 23 281,1,0,8828,True,True,False,True,False,False
56,9078,6,4,1374.1913141696168,0.0,4,139 194 38,1,0,9078,False,False,False,False,True,False
57,9113,7,12,20642.858004488917,2.546585164964199e-11,3,40 119 323,0,0,9113,True,True,False,False,False,False
58,9397,1,9,-2.1827872842550278e-11,21484.762801534802,1,,1,0,9397,False,False,False,False,False,False
59,9430,2,3,0.0,0.0,2,234,1,0,9430,False,False,False,False,False,False
60,9599,8,0,394.0892185910502,-2.7284841053187847e-12,3,100 165,1,0,9599,False,False,False,False,True,False
61,9844,10,7,-1.6370904631912708e-11,20983.66754252379,4,68 78,2,0,9844,False,False,True,True,True,False
62,10100,6,4,0.0,20076.1913141696,1,,1,0,10100,False,False,False,False,False,False
63,10210,5,8,7.275957614183426e-12,1.4551915228366852e-11,3,46 277,1,0,10210,False,False,False,False,False,False
64,10461,2,3,0.0,26876.191598001315,4,88 241,2,0,10461,False,False,True,True,False,False
65,10484,0,5,4857.143059879752,7.275957614183426e-12,2,192 185,0,0,10484,True,True,False,False,False,False
66,10576,1,9,21484.762801534802,-1.5006662579253316e-11,5,134 142 181 76,1,0,10576,True,True,False,True,True,False
67,10757,7,12,2.546585164964199e-11,20642.858004488902,9,218 73 97 52 5 58 154,2,0,10757,False,False,True,True,True,False
68,10841,10,7,20983.66754252379,-1.0913936421275139e-11,7,28 268 31 209 316 243,1,0,10841,True,True,False,True,False,False
69,10903,11,6,-3.637978807091713e-12,92.78273125057058,3,143 318,1,0,10812,False,False,False,False,False,False
70,11126,12,1,22261.9056911155,0.0,1,7,0,0,11126,True,True,False,False,False,False
71,11160,8,0,-2.7284841053187847e-12,155.73982115696572,4,289 24 2,1,0,11160,False,False,False,False,False,False
72,11995,11,6,92.78273125057058,-1.2732925824820995e-11,5,251 40 111 39,1,0,11904,False,False,False,False,True,False
73,12051,5,8,1.4551915228366852e-11,1.4551915228366852e-11,3,139 16,1,0,12051,False,False,False,False,False,False
74,12368,1,9,-1.5006662579253316e-11,236.36524838642435,2,308,1,0,12368,False,False,False,False,False,False
75,12392,10,7,-1.0913936421275139e-11,-1.8189894035458565e-11,3,297 132,1,0,12392,False,False,False,False,False,False
76,12395,12,1,0.0,-1.4551915228366852e-11,3,265 205,1,0,12395,False,False,False,False,False,False
77,12513,3,13,23095.71524972821,23095.715249728197,4,121 281 284,1,0,12513,True,True,False,True,False,False
78,12694,9,11,21290.4770791396,0.0,3,189 219,1,0,12694,True,True,False,True,False,False
79,13009,5,8,1.4551915228366852e-11,20400.00085149503,4,90 166,2,0,13009,False,False,True,True,False,False
80,13155,7,12,20642.858004488902,20642.85800448894,3,58 144,1,0,13155,True,True,False,True,False,False
81,13854,2,3,26876.191598001315,162.99506982039384,2,23 281,0,0,13854,True,True,False,False,False,False
82,13871,6,4,20076.1913141696,290.3762934176066,5,88 257 255 318,1,0,13871,True,True,False,True,False,False
83,13932,12,1,-1.4551915228366852e-11,-2.000888343900442e-11,4,41 194 241,1,0,13932,False,False,False,False,False,False
84,14123,9,11,0.0,59.21982025532816,4,260 272 146,1,0,14123,False,False,False,False,False,False
85,14145,10,7,-1.8189894035458565e-11,-7.275957614183426e-12,3,46 151,1,0,14145,False,False,False,False,False,False
86,14199,3,13,23095.715249728197,321.72456814109137,2,74 142,0,0,14199,True,True,False,False,False,False
87,14203,7,12,20642.85800448894,1.4551915228366852e-11,2,16 141,0,0,14203,True,True,False,False,False,False
88,14207,5,8,20400.00085149503,3.8198777474462986e-11,3,316 177 103,0,0,14207,True,True,False,False,False,False
