shift,driver,trailer,kind,start,end,origin,destination,operation_index,point,quantity,trailer_quantity_start,trailer_quantity_end,driving_start,driving_end
3,8,0,travel,247,306,1,24,3,,0.0,7123.80982115697,7123.80982115697,127,186
5,7,12,travel,254,257,0,1,0,,0.0,220.476606373704,220.476606373704,0,3
5,7,12,service,257,317,,,0,1,-20422.381398115194,220.476606373704,20642.8580044889,3,3
2,4,10,service,279,339,,,1,1,-19145.2388943594,0.0,19145.2388943594,249,249
4,3,13,travel,286,439,1,7,2,,0.0,23095.7152497282,23095.7152497282,166,319
1,10,7,service,294,324,,,2,294,1573.4308210754384,20983.6675425238,19410.23672144836,204,204
3,8,0,service,306,336,,,3,24,598.9000000000013,7123.80982115697,6524.909821156969,186,186
5,7,12,travel,317,368,1,151,1,,0.0,20642.8580044889,20642.8580044889,3,54
1,10,7,travel,324,358,294,139,3,,0.0,19410.23672144836,19410.23672144836,204,238
0,1,9,service,331,361,,,2,154,215.78400993347338,2258.877240299405,2043.0932303659315,271,271
3,8,0,travel,336,380,24,304,4,,0.0,6524.909821156969,6524.909821156969,186,230
2,4,10,return,339,342,1,0,,,0.0,19145.2388943594,19145.2388943594,249,252
1,10,7,service,358,388,,,3,139,7826.762452547917,19410.23672144836,11583.474268900443,238,238
0,1,9,travel,361,408,154,1,3,,0.0,2043.0932303659315,2043.0932303659315,271,318
5,7,12,service,368,428,,,1,151,10092.91553317542,20642.8580044889,10549.94247131348,54,54
3,8,0,service,380,410,,,4,304,1860.0,6524.909821156969,4664.909821156969,230,230
1,10,7,travel,388,436,139,318,4,,0.0,11583.474268900443,11583.474268900443,238,286
0,1,9,service,408,468,,,3,1,-19441.669571168866,2043.0932303659315,21484.7628015348,318,318
3,8,0,travel,410,460,304,84,5,,0.0,4664.909821156969,4664.909821156969,230,280
5,7,12,travel,428,450,151,44,2,,0.0,10549.94247131348,10549.94247131348,54,76
1,10,7,service,436,466,,,4,318,11583.474268900443,11583.474268900443,0.0,286,286
4,3,13,service,439,499,,,2,7,13518.200000000012,23095.7152497282,9577.515249728189,319,319
6,9,11,travel,441,580,0,117,0,,0.0,21290.4770791396,21290.4770791396,0,139
5,7,12,service,450,480,,,2,44,3671.800000000003,10549.94247131348,6878.142471313477,76,76
3,8,0,service,460,490,,,5,84,4664.909821156969,4664.909821156969,0.0,280,280
1,10,7,travel,466,537,318,1,5,,0.0,0.0,0.0,286,357
7,6,4,travel,467,510,0,292,0,,0.0,20076.1913141696,20076.1913141696,0,43
0,1,9,travel,468,516,1,88,4,,0.0,21484.7628015348,21484.7628015348,318,366
5,7,12,travel,480,502,44,110,3,,0.0,6878.142471313477,6878.142471313477,76,98
3,8,0,travel,490,555,84,1,6,,0.0,0.0,0.0,280,345
4,3,13,travel,499,547,7,211,3,,0.0,9577.515249728189,9577.515249728189,319,367
5,7,12,service,502,532,,,3,110,6878.142471313477,6878.142471313477,0.0,98,98
7,6,4,service,510,570,,,0,292,20076.1913141696,20076.1913141696,0.0,43,43
0,1,9,service,516,576,,,4,88,17238.862801534797,21484.7628015348,4245.9000000000015,366,366
5,7,12,return,532,566,110,0,,,0.0,0.0,0.0,98,132
1,10,7,service,537,597,,,5,1,-20983.6675425238,0.0,20983.6675425238,357,357
4,3,13,service,547,592,,,3,211,962.4,9577.515249728189,8615.11524972819,367,367
3,8,0,service,555,615,,,6,1,-7123.80982115697,0.0,7123.80982115697,345,345
8,5,8,travel,565,607,0,143,0,,0.0,20400.000851495,20400.000851495,0,42
7,6,4,return,570,611,292,0,,,0.0,0.0,0.0,43,84
0,1,9,travel,576,640,88,273,5,,0.0,4245.9000000000015,4245.9000000000015,366,430
6,9,11,service,580,610,,,0,117,4010.0,21290.4770791396,17280.4770791396,139,139
4,3,13,travel,592,728,211,172,4,,0.0,8615.11524972819,8615.11524972819,367,503
1,10,7,travel,597,638,1,312,6,,0.0,20983.6675425238,20983.6675425238,357,398
8,5,8,service,607,637,,,0,143,5816.969684975593,20400.000851495,14583.031166519406,42,42
6,9,11,travel,610,693,117,40,1,,0.0,17280.4770791396,17280.4770791396,139,222
3,8,0,travel,615,666,1,281,7,,0.0,7123.80982115697,7123.80982115697,345,396
8,5,8,travel,637,659,143,241,1,,0.0,14583.031166519406,14583.031166519406,42,64
1,10,7,service,638,668,,,6,312,1562.3999999999996,20983.6675425238,19421.267542523798,398,398
0,1,9,service,640,670,,,5,273,4245.9000000000015,4245.9000000000015,0.0,430,430
8,5,8,service,659,689,,,1,241,6601.013136150694,14583.031166519406,7982.018030368712,64,64
3,8,0,service,666,726,,,7,281,7123.80982115697,7123.80982115697,0.0,396,396
1,10,7,travel,668,696,312,272,7,,0.0,19421.267542523798,19421.267542523798,398,426
0,1,9,travel,670,743,273,1,6,,0.0,0.0,0.0,430,503
8,5,8,service,689,719,,,2,297,7982.018030368712,7982.018030368712,0.0,64,64
6,9,11,service,693,723,,,1,40,2464.194904525146,17280.4770791396,14816.282174614455,222,222
1,10,7,wait,696,1080,,,7,272,0.0,19421.267542523798,19421.267542523798,426,426
8,5,8,travel,719,771,297,1,3,,0.0,0.0,0.0,64,116
6,9,11,travel,723,782,40,54,2,,0.0,14816.282174614455,14816.282174614455,222,281
3,8,0,travel,726,776,281,1,8,,0.0,0.0,0.0,396,446
4,3,13,service,728,758,,,4,172,694.047640716814,8615.11524972819,7921.067609011375,503,503
0,1,9,service,743,803,,,6,1,-21484.7628015348,0.0,21484.7628015348,503,503
9,11,6,travel,749,784,0,23,0,,0.0,10261.9053164577,10261.9053164577,0,35
4,3,13,layover,758,1478,172,,5,172,0.0,7921.067609011375,7921.067609011375,503,0
10,2,3,travel,767,770,0,1,0,,0.0,0.0,0.0,0,3
10,2,3,service,770,830,,,0,1,-26876.1915980013,0.0,26876.1915980013,3,3
8,5,8,service,771,831,,,3,1,-20400.000851495,0.0,20400.000851495,116,116
3,8,0,service,776,836,,,8,1,-7123.80982115697,0.0,7123.80982115697,446,446
6,9,11,service,782,812,,,2,54,4958.437529296874,14816.282174614455,9857.84464531758,281,281
9,11,6,service,784,814,,,0,23,6932.760000000001,10261.9053164577,3329.1453164576988,35,35
0,1,9,layover,803,1523,1,,7,1,0.0,21484.7628015348,21484.7628015348,503,0
6,9,11,travel,812,840,54,188,3,,0.0,9857.84464531758,9857.84464531758,281,309
9,11,6,travel,814,850,23,1,1,,0.0,3329.1453164576988,3329.1453164576988,35,71
10,2,3,travel,830,1029,1,309,1,,0.0,26876.1915980013,26876.1915980013,3,202
8,5,8,travel,831,873,1,132,4,,0.0,20400.000851495,20400.000851495,116,158
3,8,0,layover,836,1556,1,,9,1,0.0,7123.80982115697,7123.80982115697,446,0
6,9,11,service,840,870,,,3,188,927.0852007194935,9857.84464531758,8930.759444598087,309,309
9,11,6,service,850,910,,,1,1,-18932.7603746578,3329.1453164576988,22261.9056911155,71,71
6,9,11,travel,870,898,188,60,4,,0.0,8930.759444598087,8930.759444598087,309,337
8,5,8,service,873,933,,,4,132,13566.285065514767,20400.000851495,6833.715785980232,158,158
6,9,11,service,898,928,,,4,60,267.82194083496154,8930.759444598087,8662.937503763125,337,337
9,11,6,travel,910,1069,1,137,2,,0.0,22261.9056911155,22261.9056911155,71,230
6,9,11,travel,928,945,60,90,5,,0.0,8662.937503763125,8662.937503763125,337,354
8,5,8,travel,933,939,132,261,5,,0.0,6833.715785980232,6833.715785980232,158,164
8,5,8,service,939,969,,,5,261,4177.930633544931,6833.715785980232,2655.785152435301,164,164
6,9,11,service,945,975,,,5,90,8662.937503763125,8662.937503763125,0.0,354,354
8,5,8,service,969,999,,,6,253,2655.7851524353036,2655.785152435301,-2.7284841053187847e-12,164,164
6,9,11,return,975,1024,90,0,,,0.0,0.0,0.0,354,403
8,5,8,travel,999,1046,253,1,7,,0.0,-2.7284841053187847e-12,-2.7284841053187847e-12,164,211
10,2,3,service,1029,1079,,,1,309,1978.4240205764781,26876.1915980013,24897.76757742482,202,202
8,5,8,service,1046,1106,,,7,1,-20400.000851495,-2.7284841053187847e-12,20400.000851494995,211,211
9,11,6,service,1069,1109,,,2,137,10135.137142181382,22261.9056911155,12126.768548934117,230,230
10,2,3,travel,1079,1179,309,205,2,,0.0,24897.76757742482,24897.76757742482,202,302
1,10,7,service,1080,1110,,,7,272,3385.566595840449,19421.267542523798,16035.700946683348,426,426
8,5,8,travel,1106,1186,1,171,8,,0.0,20400.000851494995,20400.000851494995,211,291
9,11,6,travel,1109,1223,137,299,3,,0.0,12126.768548934117,12126.768548934117,230,344
1,10,7,travel,1110,1162,272,78,8,,0.0,16035.700946683348,16035.700946683348,426,478
1,10,7,service,1162,1192,,,8,78,879.4999999999993,16035.700946683348,15156.200946683348,478,478
10,2,3,wait,1179,1183,,,2,205,0.0,24897.76757742482,24897.76757742482,302,302
10,2,3,service,1183,1228,,,2,205,3623.80963695023,24897.76757742482,21273.95794047459,302,302
8,5,8,service,1186,1246,,,8,171,20400.000851495,20400.000851494995,-3.637978807091713e-12,291,291
1,10,7,service,1192,1222,,,9,291,5040.0,15156.200946683348,10116.200946683348,478,478
1,10,7,layover,1222,1942,291,,10,291,0.0,10116.200946683348,10116.200946683348,478,0
9,11,6,service,1223,1283,,,3,299,11052.522555542037,12126.768548934117,1074.24599339208,344,344
10,2,3,travel,1228,1229,205,265,3,,0.0,21273.95794047459,21273.95794047459,302,303
10,2,3,service,1229,1274,,,3,265,5387.667543419313,21273.95794047459,15886.290397055276,303,303
8,5,8,return,1246,1329,171,0,,,0.0,-3.637978807091713e-12,-3.637978807091713e-12,291,374
10,2,3,travel,1274,1463,265,63,4,,0.0,15886.290397055276,15886.290397055276,303,492
9,11,6,travel,1283,1347,299,1,4,,0.0,1074.24599339208,1074.24599339208,344,408
11,7,12,travel,1328,1331,0,1,0,,0.0,0.0,0.0,0,3
11,7,12,service,1331,1391,,,0,1,-20642.8580044889,0.0,20642.8580044889,3,3
9,11,6,service,1347,1407,,,4,1,-21187.65969772342,1074.24599339208,22261.9056911155,408,408
11,7,12,travel,1391,1407,1,192,1,,0.0,20642.8580044889,20642.8580044889,3,19
9,11,6,return,1407,1410,1,0,,,0.0,22261.9056911155,22261.9056911155,408,411
11,7,12,service,1407,1437,,,1,192,3050.9036094665444,20642.8580044889,17591.954395022352,19,19
11,7,12,travel,1437,1466,192,49,2,,0.0,17591.954395022352,17591.954395022352,19,48
10,2,3,service,1463,1493,,,4,63,952.380982115697,15886.290397055276,14933.909414939579,492,492
11,7,12,service,1466,1496,,,2,49,962.4,17591.954395022352,16629.55439502235,48,48
4,3,13,travel,1478,1711,172,21,5,,0.0,7921.067609011375,7921.067609011375,0,226
12,6,4,travel,1489,1492,0,1,0,,0.0,0.0,0.0,0,3
12,6,4,service,1492,1552,,,0,1,-20076.1913141696,0.0,20076.1913141696,3,3
10,2,3,layover,1493,2213,63,,5,63,0.0,14933.909414939579,14933.909414939579,492,0
11,7,12,travel,1496,1513,49,316,3,,0.0,16629.55439502235,16629.55439502235,48,65
11,7,12,service,1513,1543,,,3,316,3199.1775542401356,16629.55439502235,13430.376840782215,65,65
0,1,9,travel,1523,1780,1,204,7,,0.0,21484.7628015348,21484.7628015348,0,250
11,7,12,travel,1543,1602,316,141,4,,0.0,13430.376840782215,13430.376840782215,65,124
12,6,4,travel,1552,1624,1,201,1,,0.0,20076.1913141696,20076.1913141696,3,75
3,8,0,travel,1556,1815,1,214,9,,0.0,7123.80982115697,7123.80982115697,0,195
11,7,12,service,1602,1632,,,4,141,8734.669657898,13430.376840782215,4695.7071828842145,124,124
12,6,4,service,1624,1654,,,1,201,12830.796324157714,20076.1913141696,7245.394990011884,75,75
11,7,12,travel,1632,1635,141,131,5,,0.0,4695.7071828842145,4695.7071828842145,124,127
11,7,12,service,1635,1665,,,5,131,389.0,4695.7071828842145,4306.7071828842145,127,127
12,6,4,travel,1654,1706,201,101,2,,0.0,7245.394990011884,7245.394990011884,75,127
11,7,12,travel,1665,1704,131,288,6,,0.0,4306.7071828842145,4306.7071828842145,127,166
11,7,12,service,1704,1734,,,6,288,4306.707182884216,4306.7071828842145,-1.8189894035458565e-12,166,166
12,6,4,service,1706,1736,,,2,101,7245.394990011884,7245.394990011884,0.0,127,127
4,3,13,wait,1711,1890,,,5,21,0.0,7921.067609011375,7921.067609011375,226,226
11,7,12,travel,1734,1808,288,1,7,,0.0,-1.8189894035458565e-12,-1.8189894035458565e-12,166,240
12,6,4,travel,1736,1815,101,1,3,,0.0,0.0,0.0,127,206
13,9,11,travel,1744,1747,0,1,0,,0.0,0.0,0.0,0,3
13,9,11,service,1747,1807,,,0,1,-21290.4770791396,0.0,21290.4770791396,3,3
0,1,9,wait,1780,1860,,,7,204,0.0,21484.7628015348,21484.7628015348,250,250
13,9,11,travel,1807,1855,1,3,1,,0.0,21290.4770791396,21290.4770791396,3,51
11,7,12,service,1808,1868,,,7,1,-20642.8580044889,-1.8189894035458565e-12,20642.858004488895,240,240
3,8,0,wait,1815,1920,,,9,214,0.0,7123.80982115697,7123.80982115697,195,195
12,6,4,service,1815,1875,,,3,1,-20076.1913141696,0.0,20076.1913141696,206,206
14,4,14,travel,1830,1889,0,289,0,,0.0,4857.14305987975,4857.14305987975,0,59
13,9,11,service,1855,1885,,,1,3,10064.82801,21290.4770791396,11225.649069139601,51,51
0,1,9,service,1860,1890,,,7,204,2321.600000000004,21484.7628015348,19163.162801534796,250,250
11,7,12,travel,1868,1919,1,302,8,,0.0,20642.858004488895,20642.858004488895,240,291
12,6,4,travel,1875,1974,1,79,4,,0.0,20076.1913141696,20076.1913141696,206,305
13,9,11,service,1885,1945,,,2,88,11225.6490691396,11225.649069139601,1.8189894035458565e-12,51,51
14,4,14,service,1889,1919,,,0,289,994.5600000000024,4857.14305987975,3862.5830598797475,59,59
0,1,9,travel,1890,1929,204,307,8,,0.0,19163.162801534796,19163.162801534796,250,289
4,3,13,service,1890,1935,,,5,21,572.2036799999988,7921.067609011375,7348.863929011376,226,226
11,7,12,service,1919,1949,,,8,302,1941.5200103759794,20642.858004488895,18701.337994112917,291,291
14,4,14,travel,1919,1943,289,275,1,,0.0,3862.5830598797475,3862.5830598797475,59,83
3,8,0,service,1920,1950,,,9,214,1194.5898737335192,7123.80982115697,5929.219947423451,195,195
0,1,9,service,1929,1959,,,8,307,1830.311801910405,19163.162801534796,17332.850999624392,289,289
4,3,13,travel,1935,2085,21,285,6,,0.0,7348.863929011376,7348.863929011376,226,376
1,10,7,travel,1942,2194,291,128,10,,0.0,10116.200946683348,10116.200946683348,0,220
14,4,14,service,1943,1973,,,1,275,259.02985147705067,3862.5830598797475,3603.553208402697,83,83
13,9,11,return,1945,1994,88,0,,,0.0,1.8189894035458565e-12,1.8189894035458565e-12,51,100
11,7,12,service,1949,1979,,,9,5,3336.45644989014,18701.337994112917,15364.881544222777,291,291
3,8,0,travel,1950,2205,214,242,10,,0.0,5929.219947423451,5929.219947423451,195,450
0,1,9,return,1959,2179,307,0,,,0.0,17332.850999624392,17332.850999624392,289,509
14,4,14,travel,1973,1981,275,136,2,,0.0,3603.553208402697,3603.553208402697,83,91
12,6,4,service,1974,2004,,,4,79,12476.848097464275,20076.1913141696,7599.343216705323,305,305
11,7,12,travel,1979,2004,5,225,10,,0.0,15364.881544222777,15364.881544222777,291,316
14,4,14,service,1981,2041,,,2,136,3603.553208402697,3603.553208402697,0.0,91,91
11,7,12,service,2004,2068,,,10,225,14103.170147323608,15364.881544222777,1261.711396899169,316,316
12,6,4,travel,2004,2042,79,296,5,,0.0,7599.343216705323,7599.343216705323,305,343
14,4,14,travel,2041,2115,136,1,3,,0.0,0.0,0.0,91,165
12,6,4,service,2042,2072,,,5,296,6680.093216705322,7599.343216705323,919.2500000000009,343,343
11,7,12,return,2068,2133,225,0,,,0.0,1261.711396899169,1261.711396899169,316,381
12,6,4,travel,2072,2074,296,28,6,,0.0,919.2500000000009,919.2500000000009,343,345
12,6,4,service,2074,2104,,,6,28,919.2500000000005,919.2500000000009,4.547473508864641e-13,345,345
4,3,13,service,2085,2115,,,6,285,826.4229741668709,7348.863929011376,6522.4409548445055,376,376
12,6,4,return,2104,2217,28,0,,,0.0,4.547473508864641e-13,4.547473508864641e-13,345,458
4,3,13,travel,2115,2184,285,245,7,,0.0,6522.4409548445055,6522.4409548445055,376,445
14,4,14,service,2115,2175,,,3,1,-4857.14305987975,0.0,4857.14305987975,165,165
15,5,8,travel,2165,2168,0,1,0,,0.0,-3.637978807091713e-12,-3.637978807091713e-12,0,3
15,5,8,service,2168,2228,,,0,1,-20400.000851495,-3.637978807091713e-12,20400.000851494995,3,3
14,4,14,travel,2175,2216,1,314,4,,0.0,4857.14305987975,4857.14305987975,165,206
4,3,13,wait,2184,2220,,,7,245,0.0,6522.4409548445055,6522.4409548445055,445,445
16,12,1,travel,2189,2192,0,1,0,,0.0,0.0,0.0,0,3
16,12,1,service,2192,2252,,,0,1,-22261.9056911155,0.0,22261.9056911155,3,3
1,10,7,service,2194,2239,,,10,128,3344.1302021026586,10116.200946683348,6772.070744580689,220,220
3,8,0,service,2205,2235,,,10,242,1753.5354705238346,5929.219947423451,4175.684476899616,450,450
10,2,3,travel,2213,2220,63,81,5,,0.0,14933.909414939579,14933.909414939579,0,0
14,4,14,service,2216,2246,,,4,314,2406.0,4857.14305987975,2451.1430598797497,206,206
4,3,13,service,2220,2250,,,7,245,4037.0202627821272,6522.4409548445055,2485.4206920623783,445,445
10,2,3,service,2220,2250,,,5,81,646.8,14933.909414939579,14287.10941493958,0,0
15,5,8,travel,2228,2292,1,208,1,,0.0,20400.000851494995,20400.000851494995,3,67
3,8,0,travel,2235,2243,242,99,11,,0.0,4175.684476899616,4175.684476899616,450,458
1,10,7,travel,2239,2498,128,1,11,,0.0,6772.070744580689,6772.070744580689,220,479
3,8,0,service,2243,2273,,,11,99,1534.83366470337,4175.684476899616,2640.850812196246,458,458
14,4,14,service,2246,2276,,,5,124,2169.0,2451.1430598797497,282.14305987974967,206,206
4,3,13,travel,2250,2272,245,51,8,,0.0,2485.4206920623783,2485.4206920623783,445,467
10,2,3,travel,2250,2294,81,239,6,,0.0,14287.10941493958,14287.10941493958,0,44
16,12,1,travel,2252,2354,1,31,1,,0.0,22261.9056911155,22261.9056911155,3,105
4,3,13,service,2272,2302,,,8,51,2485.42069206238,2485.4206920623783,-1.8189894035458565e-12,467,467
3,8,0,travel,2273,2280,99,274,12,,0.0,2640.850812196246,2640.850812196246,458,465
17,0,5,travel,2275,2278,0,1,0,,0.0,95.2381493012663,95.2381493012663,0,3
14,4,14,return,2276,2317,124,0,,,0.0,282.14305987974967,282.14305987974967,206,247
17,0,5,service,2278,2338,,,0,1,-4761.904910578483,95.2381493012663,4857.14305987975,3,3
3,8,0,wait,2280,2640,,,12,274,0.0,2640.850812196246,2640.850812196246,465,465
15,5,8,service,2292,2322,,,1,208,5218.991135842516,20400.000851494995,15181.009715652479,67,67
10,2,3,service,2294,2324,,,6,239,485.1,14287.10941493958,13802.009414939579,44,44
4,3,13,return,2302,2343,51,0,,,0.0,-1.8189894035458565e-12,-1.8189894035458565e-12,467,508
15,5,8,service,2322,2352,,,2,52,3253.6,15181.009715652479,11927.409715652479,67,67
10,2,3,travel,2324,2505,239,27,7,,0.0,13802.009414939579,13802.009414939579,44,225
17,0,5,travel,2338,2577,1,150,1,,0.0,4857.14305987975,4857.14305987975,3,242
15,5,8,travel,2352,2488,52,91,3,,0.0,11927.409715652479,11927.409715652479,67,203
16,12,1,service,2354,2424,,,1,31,12057.307884184964,22261.9056911155,10204.597806930535,105,105
16,12,1,travel,2424,2542,31,246,2,,0.0,10204.597806930535,10204.597806930535,105,223
15,5,8,service,2488,2518,,,3,91,11927.409715652464,11927.409715652479,1.4551915228366852e-11,203,203
1,10,7,service,2498,2558,,,11,1,-14211.596797943104,6772.070744580689,20983.66754252379,479,479
10,2,3,service,2505,2535,,,7,27,13802.00941493958,13802.009414939579,-1.8189894035458565e-12,225,225
15,5,8,return,2518,2657,91,0,,,0.0,1.4551915228366852e-11,1.4551915228366852e-11,203,342
10,2,3,travel,2535,2774,27,1,8,,0.0,-1.8189894035458565e-12,-1.8189894035458565e-12,225,464
16,12,1,service,2542,2572,,,2,246,8227.193676376337,10204.597806930535,1977.4041305541978,223,223
1,10,7,travel,2558,2571,1,243,12,,0.0,20983.66754252379,20983.66754252379,479,492
1,10,7,service,2571,2601,,,12,243,11065.359101867682,20983.66754252379,9918.30844065611,492,492
16,12,1,travel,2572,2765,246,59,3,,0.0,1977.4041305541978,1977.4041305541978,223,416
17,0,5,service,2577,2607,,,1,150,2204.9045352520607,4857.14305987975,2652.238524627689,242,242
18,11,6,travel,2580,2640,0,166,0,,0.0,22261.9056911155,22261.9056911155,0,60
1,10,7,travel,2601,2614,243,1,13,,0.0,9918.30844065611,9918.30844065611,492,505
17,0,5,travel,2607,2609,150,197,2,,0.0,2652.238524627689,2652.238524627689,242,244
17,0,5,service,2609,2639,,,2,197,2652.238524627689,2652.238524627689,0.0,244,244
1,10,7,service,2614,2674,,,13,1,-11065.359101867685,9918.30844065611,20983.667542523795,505,505
17,0,5,return,2639,2878,197,0,,,0.0,0.0,0.0,244,483
3,8,0,service,2640,2670,,,12,274,407.8314647674572,2640.850812196246,2233.019347428789,465,465
18,11,6,service,2640,2670,,,0,166,6145.908739058614,22261.9056911155,16115.996952056885,60,60
3,8,0,travel,2670,2672,274,114,13,,0.0,2233.019347428789,2233.019347428789,465,467
18,11,6,travel,2670,2723,166,155,1,,0.0,16115.996952056885,16115.996952056885,60,113
3,8,0,wait,2672,3300,,,13,114,0.0,2233.019347428789,2233.019347428789,467,467
1,10,7,return,2674,2677,1,0,,,0.0,20983.667542523795,20983.667542523795,505,508
18,11,6,service,2723,2753,,,1,155,12832.0,16115.996952056885,3283.9969520568848,113,113
18,11,6,travel,2753,2799,155,202,2,,0.0,3283.9969520568848,3283.9969520568848,113,159
16,12,1,service,2765,2795,,,3,59,1977.404130554197,1977.4041305541978,6.821210263296962e-13,416,416
10,2,3,service,2774,2834,,,8,1,-26876.1915980013,-1.8189894035458565e-12,26876.1915980013,464,464
16,12,1,travel,2795,2813,59,1,4,,0.0,6.821210263296962e-13,6.821210263296962e-13,416,434
18,11,6,service,2799,2829,,,2,202,3283.996952056881,3283.9969520568848,3.637978807091713e-12,159,159
16,12,1,service,2813,2873,,,4,1,-22261.9056911155,6.821210263296962e-13,22261.9056911155,434,434
18,11,6,travel,2829,2870,202,1,3,,0.0,3.637978807091713e-12,3.637978807091713e-12,159,200
10,2,3,return,2834,2837,1,0,,,0.0,26876.1915980013,26876.1915980013,464,467
18,11,6,service,2870,2930,,,3,1,-22261.9056911155,3.637978807091713e-12,22261.905691115502,200,200
16,12,1,return,2873,2876,1,0,,,0.0,22261.9056911155,22261.9056911155,434,437
19,1,9,travel,2899,2940,0,74,0,,0.0,17332.850999624392,17332.850999624392,0,41
18,11,6,travel,2930,3061,1,127,4,,0.0,22261.905691115502,22261.905691115502,200,331
19,1,9,service,2940,2970,,,0,74,17332.850999624385,17332.850999624392,7.275957614183426e-12,41,41
19,1,9,travel,2970,3012,74,1,1,,0.0,7.275957614183426e-12,7.275957614183426e-12,41,83
19,1,9,service,3012,3072,,,1,1,-21484.7628015348,7.275957614183426e-12,21484.762801534805,83,83
18,11,6,service,3061,3121,,,4,127,11530.01506676769,22261.905691115502,10731.890624347812,331,331
19,1,9,travel,3072,3123,1,316,2,,0.0,21484.762801534805,21484.762801534805,83,134
18,11,6,service,3121,3151,,,5,268,10731.890624347809,10731.890624347812,3.637978807091713e-12,331,331
19,1,9,service,3123,3153,,,2,316,3079.76200091663,21484.762801534805,18405.000800618174,134,134
18,11,6,travel,3151,3281,268,1,6,,0.0,3.637978807091713e-12,3.637978807091713e-12,331,461
19,1,9,service,3153,3183,,,3,177,1070.23812865251,18405.000800618174,17334.762671965666,134,134
20,9,11,travel,3176,3179,0,1,0,,0.0,1.8189894035458565e-12,1.8189894035458565e-12,0,3
20,9,11,service,3179,3239,,,0,1,-21290.4770791396,1.8189894035458565e-12,21290.4770791396,3,3
19,1,9,service,3183,3213,,,4,103,2661.90484501337,17334.762671965666,14672.857826952295,134,134
19,1,9,travel,3213,3304,103,281,5,,0.0,14672.857826952295,14672.857826952295,134,225
20,9,11,travel,3239,3312,1,69,1,,0.0,21290.4770791396,21290.4770791396,3,76
18,11,6,service,3281,3341,,,6,1,-22261.9056911155,3.637978807091713e-12,22261.905691115502,461,461
3,8,0,service,3300,3330,,,13,114,1144.7788917922994,2233.019347428789,1088.2404556364895,467,467
19,1,9,service,3304,3364,,,5,281,14672.857826952291,14672.857826952295,3.637978807091713e-12,225,225
20,9,11,service,3312,3342,,,1,69,1072.57487999999,21290.4770791396,20217.90219913961,76,76
21,7,12,travel,3320,3360,0,322,0,,0.0,1261.711396899169,1261.711396899169,0,40
3,8,0,return,3330,3373,114,0,,,0.0,1088.2404556364895,1088.2404556364895,467,510
18,11,6,return,3341,3344,1,0,,,0.0,22261.905691115502,22261.905691115502,461,464
20,9,11,travel,3342,3399,69,251,2,,0.0,20217.90219913961,20217.90219913961,76,133
21,7,12,service,3360,3390,,,0,322,1203.224798507691,1261.711396899169,58.486598391477855,40,40
19,1,9,travel,3364,3414,281,1,6,,0.0,3.637978807091713e-12,3.637978807091713e-12,225,275
22,5,8,travel,3378,3381,0,1,0,,0.0,1.4551915228366852e-11,1.4551915228366852e-11,0,3
22,5,8,service,3381,3441,,,0,1,-20400.000851495,1.4551915228366852e-11,20400.000851495013,3,3
21,7,12,travel,3390,3431,322,1,1,,0.0,58.486598391477855,58.486598391477855,40,81
