origin,origin_kind,rank,destination,destination_kind,distance,reverse_distance
11,customer,2,264,customer,0.0,0.0
11,customer,3,21,customer,7.0,5.0
11,customer,4,130,customer,7.0,5.0
11,customer,5,221,customer,7.0,5.0
11,customer,6,94,customer,18.0,18.0
11,customer,7,309,customer,18.0,18.0
11,customer,8,18,customer,45.0,45.0
11,customer,9,217,customer,61.0,61.0
11,customer,10,77,customer,72.0,72.0
12,customer,1,48,customer,3.0,3.0
12,customer,2,98,customer,3.0,2.0
12,customer,3,108,customer,3.0,3.0
12,customer,4,148,customer,3.0,2.0
12,customer,5,315,customer,3.0,2.0
12,customer,6,47,customer,4.0,5.0
12,customer,7,62,customer,4.0,5.0
12,customer,8,64,customer,5.0,4.0
12,customer,9,294,customer,5.0,4.0
12,customer,10,153,customer,7.0,7.0
13,customer,1,216,customer,34.0,34.0
13,customer,2,101,customer,46.0,45.0
13,customer,3,160,customer,60.0,60.0
13,customer,4,166,customer,60.0,60.0
13,customer,5,60,customer,63.0,64.0
13,customer,6,90,customer,66.0,67.0
13,customer,7,39,customer,73.0,73.0
13,customer,8,223,customer,73.0,73.0
13,customer,9,72,customer,75.0,75.0
13,customer,10,202,customer,75.0,73.0
14,customer,1,178,customer,0.0101899032710041,0.0101899032710041
14,customer,2,298,customer,0.0101899032710041,0.0101899032710041
14,customer,3,9,customer,1.0,0.543254302761786
14,customer,4,307,customer,5.0,5.0
14,customer,5,227,customer,12.0,16.0
14,customer,6,129,customer,14.0,21.0
14,customer,7,27,customer,18.0,14.0
14,customer,8,150,customer,18.0,14.0
14,customer,9,197,customer,18.0,19.0
14,customer,10,254,customer,21.0,35.0
15,customer,1,38,customer,1.0,2.0
15,customer,2,51,customer,1.0,2.0
15,customer,3,74,customer,1.0,2.0
15,customer,4,125,customer,1.0,2.0
15,customer,5,132,customer,1.0,2.0
15,customer,6,253,customer,3.0,4.0
15,customer,7,261,customer,3.0,4.0
15,customer,8,142,customer,4.0,4.0
15,customer,9,180,customer,4.0,4.0
15,customer,10,241,customer,4.0,6.0
16,customer,1,194,customer,0.0,0.0
16,customer,2,41,customer,0.00728617558572899,0.00728617558572899
16,customer,3,55,customer,0.00728617558572899,0.00728617558572899
16,customer,4,139,customer,0.00728617558572899,0.00728617558572899
16,customer,5,17,customer,1.0,1.0
16,customer,6,2,customer,3.0,3.0
16,customer,7,107,customer,3.0,3.0
16,customer,8,282,customer,3.0,3.0
16,customer,9,193,customer,6.0,6.0
16,customer,10,238,customer,6.0,6.0
17,customer,1,16,customer,1.0,1.0
17,customer,2,41,customer,1.0,1.0
17,customer,3,55,customer,1.0,1.0
17,customer,4,139,customer,1.0,1.0
17,customer,5,194,customer,1.0,1.0
17,customer,6,2,customer,3.0,4.0
17,customer,7,107,customer,3.0,4.0
17,customer,8,282,customer,3.0,4.0
17,customer,9,193,customer,6.0,6.0
17,customer,10,238,customer,6.0,6.0
18,customer,1,217,customer,20.0,21.0
18,customer,2,77,customer,29.0,31.0
18,customer,3,116,customer,35.0,35.0
18,customer,4,21,customer,43.0,43.0
18,customer,5,130,customer,43.0,43.0
18,customer,6,221,customer,43.0,43.0
18,customer,7,11,customer,45.0,45.0
18,customer,8,247,customer,45.0,45.0
18,customer,9,264,customer,45.0,45.0
18,customer,10,94,customer,48.0,48.0
19,customer,1,235,customer,8.0,8.0
19,customer,2,35,customer,9.0,12.0
19,customer,3,47,customer,14.0,15.0
19,customer,4,62,customer,14.0,15.0
19,customer,5,102,customer,14.0,16.0
19,customer,6,12,customer,15.0,20.0
19,customer,7,164,customer,15.0,16.0
19,customer,8,48,customer,16.0,21.0
19,customer,9,64,customer,16.0,17.0
19,customer,10,98,customer,16.0,18.0
20,customer,1,249,customer,4.0,4.0
20,customer,2,319,customer,17.0,18.0
20,customer,3,57,customer,31.0,31.0
20,customer,4,191,customer,45.0,45.0
20,customer,5,195,customer,46.0,45.0
20,customer,6,305,customer,46.0,45.0
20,customer,7,6,customer,53.0,53.0
20,customer,8,63,customer,53.0,52.0
20,customer,9,118,customer,53.0,55.0
20,customer,10,182,customer,54.0,56.0
21,customer,1,130,customer,0.0,0.0
21,customer,2,221,customer,0.0,0.0
21,customer,3,11,customer,5.0,7.0
21,customer,4,247,customer,5.0,7.0
21,customer,5,264,customer,5.0,7.0
21,customer,6,94,customer,13.0,13.0
21,customer,7,309,customer,13.0,13.0
21,customer,8,18,customer,43.0,43.0
21,customer,9,217,customer,56.0,57.0
21,customer,10,77,customer,67.8,67.8
22,customer,1,24,customer,1.0,1.0
22,customer,2,138,customer,1.0,2.0
22,customer,3,237,customer,1.0,2.0
22,customer,4,133,customer,2.0,1.0
22,customer,5,190,customer,2.0,2.0
22,customer,6,289,customer,2.0,1.0
22,customer,7,45,customer,3.0,4.0
22,customer,8,53,customer,3.0,4.0
22,customer,9,84,customer,6.0,5.0
22,customer,10,100,customer,6.0,5.0
23,customer,1,121,customer,3.0,3.0
23,customer,2,322,customer,10.0,12.0
23,customer,3,281,customer,17.0,19.0
23,customer,4,134,customer,18.0,16.0
23,customer,5,300,customer,19.0,20.0
23,customer,6,162,customer,21.0,20.0
23,customer,7,284,customer,21.0,23.0
23,customer,8,0,base,22.0,20.0
23,customer,9,1,source,23.0,21.0
23,customer,10,146,customer,26.0,34.0
24,customer,1,138,customer,0.425214898689711,1.0
24,customer,2,237,customer,0.425214898689711,1.0
24,customer,3,190,customer,0.595843148034882,0.595843148034882
24,customer,4,22,customer,1.0,1.0
24,customer,5,133,customer,1.0,1.0
24,customer,6,289,customer,1.0,1.0
24,customer,7,45,customer,3.0,3.0
24,customer,8,53,customer,3.0,3.0
24,customer,9,100,customer,5.0,5.0
24,customer,10,173,customer,5.0,6.0
25,customer,1,110,customer,3.0,2.0
25,customer,2,260,customer,3.0,2.0
25,customer,3,146,customer,6.0,6.0
25,customer,4,157,customer,9.0,7.0
25,customer,5,165,customer,9.0,9.0
25,customer,6,210,customer,9.0,7.0
25,customer,7,242,customer,9.0,9.0
25,customer,8,274,customer,9.0,9.0
25,customer,9,99,customer,10.0,8.0
25,customer,10,114,customer,10.0,10.0
26,customer,1,34,customer,4.0,3.0
26,customer,2,79,customer,4.0,4.0
26,customer,3,270,customer,4.0,3.0
26,customer,4,66,customer,9.0,11.0
26,customer,5,149,customer,9.0,11.0
26,customer,6,35,customer,14.0,15.0
26,customer,7,286,customer,15.0,17.0
26,customer,8,102,customer,17.0,20.0
26,customer,9,19,customer,20.0,21.0
26,customer,10,153,customer,20.0,22.0
27,customer,1,150,customer,0.0,0.0
27,customer,2,197,customer,0.286009541002082,0.286009541002082
27,customer,3,227,customer,5.0,4.0
27,customer,4,129,customer,8.0,7.0
27,customer,5,200,customer,11.0,11.0
27,customer,6,254,customer,12.0,19.0
27,customer,7,307,customer,13.0,16.0
27,customer,8,14,customer,14.0,18.0
27,customer,9,178,customer,15.0,16.0
27,customer,10,298,customer,15.0,16.0
28,customer,1,296,customer,0.876374287652196,0.876374287652196
28,customer,2,66,customer,14.0,19.0
28,customer,3,149,customer,14.0,19.0
28,customer,4,26,customer,25.0,23.0
28,customer,5,34,customer,29.0,28.0
28,customer,6,270,customer,29.0,28.0
28,customer,7,79,customer,31.0,30.0
28,customer,8,102,customer,32.0,30.0
28,customer,9,117,customer,32.0,32.0
28,customer,10,286,customer,35.0,36.0
29,customer,1,168,customer,5.0,8.0
29,customer,2,122,customer,8.0,7.0
29,customer,3,93,customer,10.0,10.0
29,customer,4,252,customer,10.0,10.0
29,customer,5,321,customer,10.0,10.0
29,customer,6,106,customer,11.0,13.0
29,customer,7,211,customer,12.0,11.0
29,customer,8,123,customer,16.0,16.0
29,customer,9,83,customer,21.0,21.0
29,customer,10,105,customer,22.0,22.0
30,customer,1,85,customer,6.0,3.0
30,customer,2,204,customer,25.0,27.0
30,customer,3,75,customer,36.0,39.0
30,customer,4,200,customer,40.0,41.0
30,customer,5,227,customer,53.0,54.0
30,customer,6,27,customer,54.0,57.0
30,customer,7,150,customer,54.0,57.0
30,customer,8,197,customer,54.0,57.0
30,customer,9,129,customer,58.0,60.0
30,customer,10,254,customer,64.0,67.0
31,customer,1,198,customer,0.0,0.0
31,customer,2,95,customer,3.0,4.0
31,customer,3,317,customer,14.0,15.0
31,customer,4,277,customer,24.0,24.0
31,customer,5,144,customer,25.0,27.0
31,customer,6,189,customer,25.0,27.0
31,customer,7,183,customer,26.0,31.0
31,customer,8,61,customer,27.0,39.0
31,customer,9,234,customer,33.0,32.0
31,customer,10,82,customer,35.0,35.0
32,customer,1,5,customer,0.0,0.0
32,customer,2,67,customer,0.0,0.0
32,customer,3,126,customer,0.0,0.0
32,customer,4,269,customer,0.0,0.0
32,customer,5,302,customer,0.0,0.0
32,customer,6,311,customer,0.0,0.0
32,customer,7,324,customer,0.0,0.0
32,customer,8,58,customer,4.0,4.0
32,customer,9,142,customer,4.0,4.0
32,customer,10,154,customer,4.0,4.0
33,customer,1,271,customer,28.0,28.0
33,customer,2,129,customer,35.0,35.0
33,customer,3,182,customer,35.0,34.0
33,customer,4,310,customer,36.0,35.0
33,customer,5,57,customer,38.0,38.0
33,customer,6,248,customer,39.0,39.0
33,customer,7,27,customer,40.0,39.0
33,customer,8,150,customer,40.0,39.0
33,customer,9,197,customer,40.0,39.0
33,customer,10,254,customer,40.0,46.0
34,customer,1,270,customer,0.0,0.0
34,customer,2,26,customer,3.0,4.0
34,customer,3,79,customer,3.0,4.0
34,customer,4,286,customer,11.0,14.0
34,customer,5,66,customer,13.0,13.0
34,customer,6,149,customer,13.0,13.0
34,customer,7,153,customer,15.0,18.0
34,customer,8,325,customer,15.0,16.0
34,customer,9,35,customer,16.0,16.0
34,customer,10,12,customer,17.0,16.0
35,customer,1,102,customer,8.0,10.0
35,customer,2,19,customer,12.0,9.0
35,customer,3,235,customer,13.0,12.0
35,customer,4,26,customer,15.0,14.0
35,customer,5,34,customer,16.0,16.0
35,customer,6,270,customer,16.0,16.0
35,customer,7,12,customer,20.0,25.0
35,customer,8,47,customer,20.0,20.0
35,customer,9,62,customer,20.0,20.0
35,customer,10,79,customer,20.0,21.0
36,customer,1,56,customer,6.0,6.0
36,customer,2,199,customer,23.0,23.0
36,customer,3,7,customer,25.0,25.0
36,customer,4,105,customer,25.0,24.0
36,customer,5,83,customer,26.0,25.0
36,customer,6,93,customer,31.0,30.0
36,customer,7,321,customer,31.0,30.0
36,customer,8,122,customer,33.0,32.0
36,customer,9,29,customer,39.0,39.0
36,customer,10,252,customer,39.0,38.0
37,customer,1,215,customer,0.0,0.0
37,customer,2,251,customer,24.0,23.0
37,customer,3,40,customer,25.0,24.0
37,customer,4,102,customer,25.0,21.0
37,customer,5,280,customer,29.0,29.0
37,customer,6,212,customer,31.0,30.0
37,customer,7,222,customer,31.0,30.0
37,customer,8,323,customer,31.0,30.0
37,customer,9,19,customer,32.0,32.0
37,customer,10,35,customer,33.0,33.0
38,customer,1,125,customer,0.0,0.0
38,customer,2,51,customer,0.0939469138904906,0.0939469138904906
38,customer,3,74,customer,0.0939469138904906,0.0939469138904906
38,customer,4,132,customer,0.0939469138904906,0.0939469138904906
38,customer,5,15,customer,2.0,1.0
38,customer,6,180,customer,2.0,3.0
38,customer,7,253,customer,2.0,3.0
38,customer,8,261,customer,2.0,3.0
38,customer,9,304,customer,2.0,3.0
38,customer,10,142,customer,5.0,6.0
39,customer,1,60,customer,7.0,7.0
39,customer,2,90,customer,9.0,11.0
39,customer,3,160,customer,11.0,10.0
39,customer,4,166,customer,11.0,10.0
39,customer,5,188,customer,12.0,13.0
39,customer,6,72,customer,13.0,14.0
39,customer,7,202,customer,13.0,13.0
39,customer,8,232,customer,13.0,13.0
39,customer,9,113,customer,20.0,21.0
39,customer,10,65,customer,22.0,22.0
40,customer,1,251,customer,1.0,0.549178433032466
40,customer,2,212,customer,14.0,14.0
40,customer,3,303,customer,19.0,19.0
40,customer,4,290,customer,22.0,21.0
40,customer,5,306,customer,22.0,20.0
40,customer,6,37,customer,24.0,25.0
40,customer,7,215,customer,24.0,25.0
40,customer,8,280,customer,24.0,24.0
40,customer,9,222,customer,29.0,29.0
40,customer,10,323,customer,29.0,29.0
41,customer,1,55,customer,0.0,0.0
41,customer,2,139,customer,0.0,0.0
41,customer,3,16,customer,0.00728617558572899,0.00728617558572899
41,customer,4,194,customer,0.00728617558572899,0.00728617558572899
41,customer,5,17,customer,1.0,1.0
41,customer,6,2,customer,3.0,3.0
41,customer,7,107,customer,3.0,3.0
41,customer,8,282,customer,3.0,3.0
41,customer,9,193,customer,6.0,6.0
41,customer,10,238,customer,6.0,6.0
42,customer,1,285,customer,6.0,4.0
42,customer,2,313,customer,6.0,5.0
42,customer,3,287,customer,12.0,12.0
42,customer,4,127,customer,14.0,13.0
42,customer,5,268,customer,14.0,13.0
42,customer,6,234,customer,35.0,36.0
42,customer,7,145,customer,38.0,38.0
42,customer,8,137,customer,39.0,38.0
42,customer,9,277,customer,39.0,39.0
42,customer,10,31,customer,40.0,39.0
43,customer,1,7,customer,37.0,37.0
43,customer,2,93,customer,37.0,37.0
43,customer,3,252,customer,37.0,37.0
43,customer,4,321,customer,37.0,37.0
43,customer,5,83,customer,38.0,38.0
43,customer,6,105,customer,39.0,39.0
43,customer,7,122,customer,39.0,39.0
43,customer,8,152,customer,40.0,41.0
43,customer,9,103,customer,46.0,46.0
43,customer,10,177,customer,46.0,46.0
44,customer,1,244,customer,0.0,0.0
44,customer,2,50,customer,3.0,10.0
44,customer,3,230,customer,3.0,10.0
44,customer,4,147,customer,4.0,8.0
44,customer,5,142,customer,5.0,5.0
44,customer,6,143,customer,6.0,6.0
44,customer,7,253,customer,6.0,6.0
44,customer,8,261,customer,6.0,6.0
44,customer,9,126,customer,9.0,10.0
44,customer,10,324,customer,9.0,10.0
45,customer,1,24,customer,3.0,3.0
45,customer,2,133,customer,3.0,4.0
45,customer,3,138,customer,3.0,3.0
45,customer,4,237,customer,3.0,3.0
45,customer,5,289,customer,3.0,4.0
45,customer,6,22,customer,4.0,3.0
45,customer,7,190,customer,4.0,2.0
45,customer,8,53,customer,5.0,3.0
45,customer,9,173,customer,5.0,6.0
45,customer,10,84,customer,7.0,7.0
46,customer,1,151,customer,0.0,0.0
46,customer,2,58,customer,8.0,8.0
46,customer,3,154,customer,8.0,8.0
46,customer,4,207,customer,9.0,9.0
46,customer,5,240,customer,9.0,11.0
46,customer,6,44,customer,10.0,10.0
46,customer,7,126,customer,10.0,12.0
46,customer,8,244,customer,10.0,10.0
46,customer,9,324,customer,10.0,12.0
46,customer,10,5,customer,11.0,13.0
47,customer,1,62,customer,0.0,0.0
47,customer,2,98,customer,2.0,2.0
47,customer,3,148,customer,2.0,2.0
47,customer,4,315,customer,2.0,2.0
47,customer,5,64,customer,3.0,2.0
47,customer,6,294,customer,3.0,2.0
47,customer,7,171,customer,4.0,4.0
47,customer,8,258,customer,4.0,4.0
47,customer,9,12,customer,5.0,4.0
47,customer,10,164,customer,5.0,2.0
48,customer,1,108,customer,0.0,0.0
48,customer,2,12,customer,3.0,3.0
48,customer,3,98,customer,4.0,4.0
48,customer,4,148,customer,4.0,4.0
48,customer,5,153,customer,4.0,5.0
48,customer,6,315,customer,4.0,4.0
48,customer,7,47,customer,5.0,6.0
48,customer,8,62,customer,5.0,6.0
48,customer,9,64,customer,5.0,4.0
48,customer,10,294,customer,5.0,4.0
49,customer,1,124,customer,0.0,0.0
49,customer,2,314,customer,0.0,0.0
49,customer,3,158,customer,0.0373650594841034,0.0373650594841034
49,customer,4,209,customer,0.0373650594841034,0.0373650594841034
49,customer,5,292,customer,0.0373650594841034,0.0373650594841034
49,customer,6,103,customer,7.0,7.0
49,customer,7,177,customer,7.0,7.0
49,customer,8,316,customer,7.0,7.0
49,customer,9,68,customer,10.0,10.0
49,customer,10,170,customer,12.0,12.0
50,customer,1,230,customer,0.0,0.0
50,customer,2,147,customer,5.0,5.0
50,customer,3,143,customer,6.0,6.0
50,customer,4,38,customer,8.0,10.0
50,customer,5,51,customer,8.0,10.0
50,customer,6,74,customer,8.0,10.0
50,customer,7,110,customer,8.0,9.0
50,customer,8,125,customer,8.0,10.0
50,customer,9,132,customer,8.0,10.0
50,customer,10,253,customer,8.0,10.0
51,customer,1,74,customer,0.0,0.0
51,customer,2,132,customer,0.0,0.0
51,customer,3,38,customer,0.0939469138904906,0.0939469138904906
51,customer,4,125,customer,0.0939469138904906,0.0939469138904906
51,customer,5,15,customer,2.0,1.0
51,customer,6,180,customer,2.0,3.0
51,customer,7,253,customer,2.0,3.0
51,customer,8,261,customer,2.0,3.0
51,customer,9,304,customer,2.0,3.0
51,customer,10,142,customer,5.0,6.0
52,customer,1,208,customer,0.0,0.0
52,customer,2,299,customer,0.0,0.0
52,customer,3,97,customer,1.0,1.0
52,customer,4,187,customer,6.0,14.0
52,customer,5,283,customer,9.0,9.0
52,customer,6,225,customer,10.0,10.0
52,customer,7,245,customer,10.0,10.0
52,customer,8,15,customer,11.0,13.0
52,customer,9,17,customer,11.0,14.0
52,customer,10,241,customer,11.0,12.0
53,customer,1,133,customer,2.0,3.0
53,customer,2,173,customer,2.0,3.0
53,customer,3,190,customer,2.0,2.0
53,customer,4,289,customer,2.0,3.0
53,customer,5,24,customer,3.0,3.0
53,customer,6,45,customer,3.0,5.0
53,customer,7,100,customer,3.0,4.0
53,customer,8,138,customer,3.0,3.0
53,customer,9,237,customer,3.0,3.0
53,customer,10,22,customer,4.0,3.0
54,customer,1,161,customer,5.0,6.0
54,customer,2,111,customer,6.0,8.0
54,customer,3,201,customer,6.0,8.0
54,customer,4,257,customer,7.0,7.0
54,customer,5,288,customer,7.0,7.0
54,customer,6,4,customer,8.0,8.0
54,customer,7,136,customer,8.0,8.0
54,customer,8,174,customer,8.0,8.0
54,customer,9,219,customer,8.0,8.0
54,customer,10,255,customer,8.0,8.0
55,customer,1,41,customer,0.0,0.0
55,customer,2,139,customer,0.0,0.0
55,customer,3,16,customer,0.00728617558572899,0.00728617558572899
55,customer,4,194,customer,0.00728617558572899,0.00728617558572899
55,customer,5,17,customer,1.0,1.0
55,customer,6,2,customer,3.0,3.0
55,customer,7,107,customer,3.0,3.0
55,customer,8,282,customer,3.0,3.0
55,customer,9,193,customer,6.0,6.0
55,customer,10,238,customer,6.0,6.0
56,customer,1,36,customer,6.0,6.0
56,customer,2,7,customer,19.0,19.0
56,customer,3,105,customer,19.0,18.0
56,customer,4,83,customer,20.0,19.0
56,customer,5,199,customer,20.0,19.0
56,customer,6,93,customer,25.0,24.0
56,customer,7,321,customer,25.0,24.0
56,customer,8,122,customer,27.0,26.0
56,customer,9,29,customer,33.0,33.0
56,customer,10,123,customer,33.0,33.0
57,customer,1,319,customer,14.0,14.0
57,customer,2,182,customer,21.0,22.0
57,customer,3,271,customer,30.0,31.0
57,customer,4,20,customer,31.0,31.0
57,customer,5,249,customer,33.0,33.0
57,customer,6,248,customer,35.0,36.0
57,customer,7,33,customer,38.0,38.0
57,customer,8,191,customer,40.0,40.0
57,customer,9,195,customer,40.0,40.0
57,customer,10,305,customer,40.0,40.0
58,customer,1,154,customer,0.0,0.0
58,customer,2,207,customer,2.0,2.0
58,customer,3,240,customer,2.0,4.0
58,customer,4,126,customer,3.0,3.0
58,customer,5,324,customer,3.0,3.0
58,customer,6,5,customer,4.0,4.0
58,customer,7,32,customer,4.0,4.0
58,customer,8,67,customer,4.0,4.0
58,customer,9,269,customer,4.0,4.0
58,customer,10,302,customer,4.0,4.0
59,customer,1,185,customer,0.0,0.0
59,customer,2,192,customer,0.0,0.0
59,customer,3,78,customer,6.0,7.0
59,customer,4,135,customer,6.0,3.0
59,customer,5,243,customer,6.0,7.0
59,customer,6,291,customer,6.0,7.0
59,customer,7,170,customer,8.0,6.0
59,customer,8,68,customer,11.0,10.0
59,customer,9,0,base,12.0,11.0
59,customer,10,1,source,12.0,11.0
60,customer,1,160,customer,4.0,3.0
60,customer,2,166,customer,4.0,3.0
60,customer,3,90,customer,6.0,7.0
60,customer,4,39,customer,7.0,7.0
60,customer,5,188,customer,18.0,19.0
60,customer,6,101,customer,21.0,20.0
60,customer,7,202,customer,21.0,19.0
60,customer,8,232,customer,21.0,19.0
60,customer,9,72,customer,22.0,21.0
60,customer,10,113,customer,26.0,27.0
61,customer,1,228,customer,18.0,18.0
61,customer,2,229,customer,21.0,21.0
61,customer,3,183,customer,24.0,24.0
61,customer,4,31,customer,39.0,27.0
61,customer,5,198,customer,39.0,27.0
61,customer,6,95,customer,42.0,27.0
61,customer,7,277,customer,42.0,45.0
61,customer,8,317,customer,42.0,40.0
61,customer,9,226,customer,49.0,48.0
61,customer,10,144,customer,50.0,53.0
62,customer,1,47,customer,0.0,0.0
62,customer,2,98,customer,2.0,2.0
62,customer,3,148,customer,2.0,2.0
62,customer,4,315,customer,2.0,2.0
62,customer,5,64,customer,3.0,2.0
62,customer,6,294,customer,3.0,2.0
62,customer,7,171,customer,4.0,4.0
62,customer,8,258,customer,4.0,4.0
62,customer,9,12,customer,5.0,4.0
62,customer,10,164,customer,5.0,2.0
63,customer,1,6,customer,1.0,1.0
63,customer,2,81,customer,3.0,4.0
63,customer,3,156,customer,26.0,26.0
63,customer,4,128,customer,28.0,29.0
63,customer,5,295,customer,28.0,29.0
63,customer,6,239,customer,32.0,33.0
63,customer,7,172,customer,33.0,33.0
63,customer,8,214,customer,33.0,34.0
63,customer,9,20,customer,52.0,53.0
63,customer,10,249,customer,56.0,56.0
64,customer,1,294,customer,0.0,0.0
64,customer,2,98,customer,1.0,5.0
64,customer,3,148,customer,1.0,5.0
64,customer,4,315,customer,1.0,5.0
64,customer,5,47,customer,2.0,3.0
64,customer,6,62,customer,2.0,3.0
64,customer,7,171,customer,3.0,4.0
64,customer,8,258,customer,3.0,4.0
64,customer,9,12,customer,4.0,5.0
64,customer,10,48,customer,4.0,5.0
65,customer,1,218,customer,0.0,0.0
65,customer,2,201,customer,3.0,3.0
65,customer,3,255,customer,4.0,4.0
65,customer,4,174,customer,5.0,5.0
65,customer,5,219,customer,5.0,5.0
65,customer,6,257,customer,5.0,5.0
65,customer,7,288,customer,5.0,5.0
65,customer,8,92,customer,7.0,10.0
65,customer,9,318,customer,7.0,10.0
65,customer,10,86,customer,8.0,8.0
66,customer,1,149,customer,0.0,0.0
66,customer,2,79,customer,10.0,10.0
66,customer,3,26,customer,11.0,9.0
66,customer,4,34,customer,13.0,13.0
66,customer,5,270,customer,13.0,13.0
66,customer,6,296,customer,18.0,13.0
66,customer,7,28,customer,19.0,14.0
66,customer,8,286,customer,22.0,25.0
66,customer,9,35,customer,23.0,27.0
66,customer,10,102,customer,24.0,21.0
67,customer,1,5,customer,0.0,0.0
67,customer,2,32,customer,0.0,0.0
67,customer,3,126,customer,0.0,0.0
67,customer,4,269,customer,0.0,0.0
67,customer,5,302,customer,0.0,0.0
67,customer,6,311,customer,0.0,0.0
67,customer,7,324,customer,0.0,0.0
67,customer,8,58,customer,4.0,4.0
67,customer,9,142,customer,4.0,4.0
67,customer,10,154,customer,4.0,4.0
68,customer,1,49,customer,10.0,10.0
68,customer,2,59,customer,10.0,11.0
68,customer,3,124,customer,10.0,10.0
68,customer,4,158,customer,10.0,10.0
68,customer,5,185,customer,10.0,11.0
