origin,origin_kind,rank,destination,destination_kind,time,reverse_time
13,customer,10,72,customer,85,85
14,customer,1,178,customer,1,1
14,customer,2,298,customer,1,1
14,customer,3,9,customer,2,1
14,customer,4,307,customer,8,9
14,customer,5,227,customer,21,24
14,customer,6,129,customer,23,30
14,customer,7,27,customer,28,30
14,customer,8,150,customer,28,30
14,customer,9,197,customer,28,30
14,customer,10,254,customer,35,45
15,customer,1,38,customer,2,4
15,customer,2,51,customer,2,4
15,customer,3,125,customer,2,4
15,customer,4,74,customer,3,4
15,customer,5,132,customer,3,4
15,customer,6,126,customer,8,8
15,customer,7,324,customer,8,8
15,customer,8,241,customer,9,9
15,customer,9,253,customer,9,12
15,customer,10,261,customer,9,12
16,customer,1,194,customer,0,0
16,customer,2,41,customer,1,1
16,customer,3,55,customer,1,1
16,customer,4,139,customer,1,1
16,customer,5,17,customer,4,5
16,customer,6,107,customer,6,9
16,customer,7,282,customer,6,9
16,customer,8,2,customer,7,8
16,customer,9,193,customer,11,13
16,customer,10,238,customer,11,13
17,customer,1,16,customer,5,4
17,customer,2,41,customer,5,4
17,customer,3,55,customer,5,4
17,customer,4,139,customer,5,4
17,customer,5,194,customer,5,4
17,customer,6,2,customer,8,11
17,customer,7,107,customer,8,11
17,customer,8,282,customer,8,11
17,customer,9,193,customer,12,15
17,customer,10,238,customer,12,15
18,customer,1,217,customer,35,35
18,customer,2,77,customer,51,53
18,customer,3,116,customer,51,51
18,customer,4,21,customer,62,57
18,customer,5,130,customer,62,57
18,customer,6,221,customer,62,57
18,customer,7,11,customer,65,65
18,customer,8,247,customer,65,65
18,customer,9,264,customer,65,65
18,customer,10,94,customer,66,65
19,customer,1,35,customer,13,17
19,customer,2,235,customer,16,15
19,customer,3,47,customer,22,23
19,customer,4,62,customer,22,23
19,customer,5,164,customer,22,23
19,customer,6,171,customer,22,22
19,customer,7,258,customer,22,22
19,customer,8,102,customer,23,25
19,customer,9,176,customer,23,22
19,customer,10,73,customer,24,24
20,customer,1,249,customer,6,6
20,customer,2,319,customer,26,26
20,customer,3,57,customer,44,45
20,customer,4,191,customer,64,63
20,customer,5,195,customer,64,64
20,customer,6,305,customer,64,64
20,customer,7,182,customer,65,67
20,customer,8,271,customer,74,76
20,customer,9,248,customer,83,86
20,customer,10,63,customer,84,83
21,customer,1,130,customer,0,0
21,customer,2,221,customer,0,0
21,customer,3,11,customer,8,15
21,customer,4,247,customer,8,15
21,customer,5,264,customer,8,15
21,customer,6,94,customer,18,18
21,customer,7,309,customer,18,18
21,customer,8,217,customer,56,57
21,customer,9,18,customer,57,62
21,customer,10,77,customer,66,66
22,customer,1,24,customer,3,4
22,customer,2,133,customer,4,3
22,customer,3,138,customer,4,6
22,customer,4,237,customer,4,6
22,customer,5,289,customer,4,3
22,customer,6,190,customer,5,5
22,customer,7,45,customer,7,9
22,customer,8,53,customer,7,9
22,customer,9,141,customer,12,12
22,customer,10,173,customer,12,14
23,customer,1,121,customer,8,8
23,customer,2,322,customer,19,23
23,customer,3,134,customer,28,28
23,customer,4,281,customer,29,33
23,customer,5,162,customer,34,34
23,customer,6,284,customer,34,39
23,customer,7,300,customer,34,37
23,customer,8,0,base,35,35
23,customer,9,1,source,36,36
23,customer,10,78,customer,40,41
24,customer,1,138,customer,1,3
24,customer,2,237,customer,1,3
24,customer,3,190,customer,2,2
24,customer,4,22,customer,4,3
24,customer,5,133,customer,5,4
24,customer,6,289,customer,5,4
24,customer,7,45,customer,7,8
24,customer,8,53,customer,8,8
24,customer,9,100,customer,13,13
24,customer,10,173,customer,13,14
25,customer,1,110,customer,9,4
25,customer,2,260,customer,9,4
25,customer,3,146,customer,17,14
25,customer,4,165,customer,19,17
25,customer,5,242,customer,19,17
25,customer,6,274,customer,19,17
25,customer,7,157,customer,20,14
25,customer,8,210,customer,20,14
25,customer,9,99,customer,21,16
25,customer,10,114,customer,21,20
26,customer,1,34,customer,8,9
26,customer,2,270,customer,8,9
26,customer,3,79,customer,9,11
26,customer,4,66,customer,21,23
26,customer,5,149,customer,21,23
26,customer,6,35,customer,23,29
26,customer,7,19,customer,31,37
26,customer,8,102,customer,31,38
26,customer,9,235,customer,31,37
26,customer,10,286,customer,32,34
27,customer,1,150,customer,0,0
27,customer,2,197,customer,2,2
27,customer,3,227,customer,12,9
27,customer,4,129,customer,15,14
27,customer,5,200,customer,20,21
27,customer,6,254,customer,24,29
27,customer,7,307,customer,27,24
27,customer,8,204,customer,28,25
27,customer,9,9,customer,29,28
27,customer,10,14,customer,30,28
28,customer,1,296,customer,2,2
28,customer,2,66,customer,25,31
28,customer,3,149,customer,25,31
28,customer,4,34,customer,39,36
28,customer,5,270,customer,39,36
28,customer,6,79,customer,42,39
28,customer,7,117,customer,46,45
28,customer,8,26,customer,49,46
28,customer,9,102,customer,52,49
28,customer,10,286,customer,52,52
29,customer,1,168,customer,11,14
29,customer,2,93,customer,14,16
29,customer,3,321,customer,14,16
29,customer,4,122,customer,16,17
29,customer,5,106,customer,21,25
29,customer,6,211,customer,24,23
29,customer,7,252,customer,25,26
29,customer,8,226,customer,27,29
29,customer,9,123,customer,30,29
29,customer,10,7,customer,34,35
30,customer,1,85,customer,11,9
30,customer,2,204,customer,44,47
30,customer,3,75,customer,47,50
30,customer,4,227,customer,59,61
30,customer,5,27,customer,61,67
30,customer,6,150,customer,61,67
30,customer,7,197,customer,62,68
30,customer,8,129,customer,65,71
30,customer,9,254,customer,69,76
30,customer,10,200,customer,71,73
31,customer,1,198,customer,0,0
31,customer,2,95,customer,6,8
31,customer,3,317,customer,25,26
31,customer,4,277,customer,33,37
31,customer,5,144,customer,37,42
31,customer,6,189,customer,37,42
31,customer,7,61,customer,39,52
31,customer,8,82,customer,40,44
31,customer,9,183,customer,40,49
31,customer,10,285,customer,41,42
32,customer,1,5,customer,0,0
32,customer,2,67,customer,0,0
32,customer,3,126,customer,0,0
32,customer,4,269,customer,0,0
32,customer,5,302,customer,0,0
32,customer,6,311,customer,0,0
32,customer,7,324,customer,0,0
32,customer,8,58,customer,9,10
32,customer,9,154,customer,9,10
32,customer,10,240,customer,10,13
33,customer,1,271,customer,42,41
33,customer,2,129,customer,52,51
33,customer,3,310,customer,53,52
33,customer,4,182,customer,55,54
33,customer,5,248,customer,55,55
33,customer,6,27,customer,59,58
33,customer,7,150,customer,59,58
33,customer,8,197,customer,59,58
33,customer,9,227,customer,60,56
33,customer,10,57,customer,61,60
34,customer,1,270,customer,0,0
34,customer,2,79,customer,7,7
34,customer,3,26,customer,9,8
34,customer,4,66,customer,23,23
34,customer,5,149,customer,23,23
34,customer,6,286,customer,23,25
34,customer,7,35,customer,25,28
34,customer,8,325,customer,26,28
34,customer,9,153,customer,29,31
34,customer,10,12,customer,31,31
35,customer,1,102,customer,16,18
35,customer,2,19,customer,17,13
35,customer,3,235,customer,18,16
35,customer,4,47,customer,25,25
35,customer,5,62,customer,25,25
35,customer,6,164,customer,25,26
35,customer,7,171,customer,25,25
35,customer,8,258,customer,25,25
35,customer,9,73,customer,27,26
35,customer,10,176,customer,27,24
36,customer,1,56,customer,16,16
36,customer,2,199,customer,39,36
36,customer,3,7,customer,41,40
36,customer,4,83,customer,42,42
36,customer,5,105,customer,42,42
36,customer,6,93,customer,43,42
36,customer,7,321,customer,43,42
36,customer,8,122,customer,47,46
36,customer,9,29,customer,56,54
36,customer,10,168,customer,59,58
37,customer,1,215,customer,0,0
37,customer,2,251,customer,32,32
37,customer,3,40,customer,33,33
37,customer,4,222,customer,33,32
37,customer,5,323,customer,33,31
37,customer,6,35,customer,34,35
37,customer,7,102,customer,39,34
37,customer,8,19,customer,40,35
37,customer,9,212,customer,41,40
37,customer,10,111,customer,48,49
38,customer,1,125,customer,0,0
38,customer,2,51,customer,1,1
38,customer,3,74,customer,1,1
38,customer,4,132,customer,1,1
38,customer,5,15,customer,4,2
38,customer,6,253,customer,6,10
38,customer,7,261,customer,6,10
38,customer,8,180,customer,7,9
38,customer,9,304,customer,7,9
38,customer,10,147,customer,11,12
39,customer,1,188,customer,15,17
39,customer,2,60,customer,17,18
39,customer,3,202,customer,18,16
39,customer,4,232,customer,18,16
39,customer,5,72,customer,19,20
39,customer,6,90,customer,19,17
39,customer,7,160,customer,23,21
39,customer,8,166,customer,23,21
39,customer,9,113,customer,29,31
39,customer,10,76,customer,30,31
40,customer,1,251,customer,3,2
40,customer,2,212,customer,23,24
40,customer,3,37,customer,33,33
40,customer,4,215,customer,33,33
40,customer,5,303,customer,35,36
40,customer,6,290,customer,39,38
40,customer,7,306,customer,40,39
40,customer,8,280,customer,41,41
40,customer,9,35,customer,42,41
40,customer,10,19,customer,47,40
41,customer,1,55,customer,0,0
41,customer,2,139,customer,0,0
41,customer,3,16,customer,1,1
41,customer,4,194,customer,1,1
41,customer,5,17,customer,4,5
41,customer,6,2,customer,6,8
41,customer,7,107,customer,6,9
41,customer,8,282,customer,6,9
41,customer,9,193,customer,11,12
41,customer,10,238,customer,11,12
42,customer,1,285,customer,9,8
42,customer,2,313,customer,12,11
42,customer,3,287,customer,16,15
42,customer,4,127,customer,19,17
42,customer,5,268,customer,19,17
42,customer,6,96,customer,49,52
42,customer,7,320,customer,49,52
42,customer,8,31,customer,50,49
42,customer,9,198,customer,50,49
42,customer,10,256,customer,50,55
43,customer,1,226,customer,52,57
43,customer,2,93,customer,55,54
43,customer,3,321,customer,55,54
43,customer,4,7,customer,56,56
43,customer,5,83,customer,57,57
43,customer,6,122,customer,59,59
43,customer,7,252,customer,59,59
43,customer,8,29,customer,60,59
43,customer,9,105,customer,60,60
43,customer,10,168,customer,62,61
44,customer,1,244,customer,0,0
44,customer,2,50,customer,8,19
44,customer,3,147,customer,8,18
44,customer,4,230,customer,8,19
44,customer,5,143,customer,13,16
44,customer,6,38,customer,15,19
44,customer,7,51,customer,15,19
44,customer,8,74,customer,15,19
44,customer,9,125,customer,15,19
44,customer,10,132,customer,15,19
45,customer,1,24,customer,8,7
45,customer,2,138,customer,8,6
45,customer,3,190,customer,8,5
45,customer,4,237,customer,8,6
45,customer,5,22,customer,9,7
45,customer,6,133,customer,9,9
45,customer,7,289,customer,9,9
45,customer,8,53,customer,10,8
45,customer,9,173,customer,12,13
45,customer,10,84,customer,15,16
46,customer,1,151,customer,0,0
46,customer,2,58,customer,19,25
46,customer,3,154,customer,19,25
46,customer,4,126,customer,20,27
46,customer,5,324,customer,20,27
46,customer,6,240,customer,21,28
46,customer,7,44,customer,22,21
46,customer,8,207,customer,22,26
46,customer,9,244,customer,22,21
46,customer,10,5,customer,23,29
47,customer,1,62,customer,0,0
47,customer,2,98,customer,6,5
47,customer,3,148,customer,6,5
47,customer,4,315,customer,6,5
47,customer,5,64,customer,9,7
47,customer,6,171,customer,9,9
47,customer,7,258,customer,9,9
47,customer,8,294,customer,9,7
47,customer,9,12,customer,10,9
47,customer,10,48,customer,11,10
48,customer,1,108,customer,0,0
48,customer,2,12,customer,8,7
48,customer,3,98,customer,8,7
48,customer,4,148,customer,8,7
48,customer,5,315,customer,8,7
48,customer,6,153,customer,9,10
48,customer,7,47,customer,10,11
48,customer,8,62,customer,10,11
48,customer,9,171,customer,10,10
48,customer,10,258,customer,10,10
49,customer,1,124,customer,0,0
49,customer,2,314,customer,0,0
49,customer,3,158,customer,1,1
49,customer,4,209,customer,1,1
49,customer,5,292,customer,1,1
49,customer,6,103,customer,17,17
49,customer,7,177,customer,17,17
49,customer,8,316,customer,17,17
49,customer,9,68,customer,20,20
49,customer,10,170,customer,21,21
50,customer,1,230,customer,0,0
50,customer,2,147,customer,9,12
50,customer,3,38,customer,12,18
50,customer,4,51,customer,12,18
50,customer,5,74,customer,12,18
50,customer,6,125,customer,12,18
50,customer,7,132,customer,12,18
50,customer,8,143,customer,13,16
50,customer,9,15,customer,14,21
50,customer,10,58,customer,16,23
51,customer,1,74,customer,0,0
51,customer,2,132,customer,0,0
51,customer,3,38,customer,1,1
51,customer,4,125,customer,1,1
51,customer,5,15,customer,4,2
51,customer,6,253,customer,6,10
51,customer,7,261,customer,6,10
51,customer,8,180,customer,7,9
51,customer,9,304,customer,7,9
51,customer,10,147,customer,11,12
52,customer,1,208,customer,0,0
52,customer,2,299,customer,0,0
52,customer,3,97,customer,4,4
52,customer,4,187,customer,14,23
52,customer,5,283,customer,16,16
52,customer,6,245,customer,18,17
52,customer,7,293,customer,19,18
52,customer,8,15,customer,20,22
52,customer,9,225,customer,20,20
52,customer,10,241,customer,20,20
53,customer,1,133,customer,7,7
53,customer,2,173,customer,7,8
53,customer,3,190,customer,7,6
53,customer,4,289,customer,7,7
53,customer,5,24,customer,8,8
53,customer,6,45,customer,8,10
53,customer,7,138,customer,8,6
53,customer,8,237,customer,8,6
53,customer,9,22,customer,9,7
53,customer,10,84,customer,9,10
54,customer,1,161,customer,10,13
54,customer,2,111,customer,13,15
54,customer,3,201,customer,13,16
54,customer,4,257,customer,15,16
54,customer,5,4,customer,16,16
54,customer,6,136,customer,16,16
54,customer,7,174,customer,16,16
54,customer,8,219,customer,16,16
54,customer,9,288,customer,16,16
54,customer,10,255,customer,18,18
55,customer,1,41,customer,0,0
55,customer,2,139,customer,0,0
55,customer,3,16,customer,1,1
55,customer,4,194,customer,1,1
55,customer,5,17,customer,4,5
55,customer,6,2,customer,6,8
55,customer,7,107,customer,6,9
55,customer,8,282,customer,6,9
55,customer,9,193,customer,11,12
55,customer,10,238,customer,11,12
56,customer,1,36,customer,16,16
56,customer,2,7,customer,25,24
56,customer,3,83,customer,26,26
56,customer,4,105,customer,26,26
56,customer,5,199,customer,26,23
56,customer,6,93,customer,27,26
56,customer,7,321,customer,27,26
56,customer,8,122,customer,31,30
56,customer,9,29,customer,40,38
56,customer,10,168,customer,43,42
57,customer,1,319,customer,22,22
57,customer,2,182,customer,34,35
57,customer,3,271,customer,43,44
57,customer,4,20,customer,45,44
57,customer,5,249,customer,47,46
57,customer,6,248,customer,52,53
57,customer,7,33,customer,60,61
57,customer,8,191,customer,60,60
57,customer,9,195,customer,60,60
57,customer,10,305,customer,60,60
58,customer,1,154,customer,0,0
58,customer,2,207,customer,6,5
58,customer,3,126,customer,7,7
58,customer,4,240,customer,7,9
58,customer,5,324,customer,7,7
58,customer,6,5,customer,10,9
58,customer,7,32,customer,10,9
58,customer,8,67,customer,10,9
58,customer,9,269,customer,10,9
58,customer,10,302,customer,10,9
59,customer,1,185,customer,0,0
59,customer,2,192,customer,0,0
59,customer,3,78,customer,11,11
59,customer,4,243,customer,11,11
59,customer,5,291,customer,11,11
59,customer,6,135,customer,13,8
59,customer,7,68,customer,14,13
59,customer,8,170,customer,14,13
59,customer,9,0,base,18,16
59,customer,10,1,source,18,16
60,customer,1,160,customer,11,9
60,customer,2,166,customer,11,9
60,customer,3,90,customer,17,18
60,customer,4,39,customer,18,17
60,customer,5,202,customer,26,26
60,customer,6,232,customer,26,26
60,customer,7,188,customer,27,28
60,customer,8,72,customer,28,30
60,customer,9,101,customer,37,37
60,customer,10,213,customer,40,48
61,customer,1,228,customer,26,25
61,customer,2,229,customer,34,33
61,customer,3,183,customer,39,40
61,customer,4,31,customer,52,39
61,customer,5,198,customer,52,39
61,customer,6,95,customer,57,38
61,customer,7,317,customer,61,54
61,customer,8,144,customer,66,68
61,customer,9,189,customer,66,68
61,customer,10,277,customer,66,61
62,customer,1,47,customer,0,0
62,customer,2,98,customer,6,5
62,customer,3,148,customer,6,5
62,customer,4,315,customer,6,5
62,customer,5,64,customer,9,7
62,customer,6,171,customer,9,9
62,customer,7,258,customer,9,9
62,customer,8,294,customer,9,7
62,customer,9,12,customer,10,9
62,customer,10,48,customer,11,10
63,customer,1,6,customer,2,2
63,customer,2,81,customer,7,8
63,customer,3,156,customer,39,40
63,customer,4,128,customer,43,44
63,customer,5,295,customer,43,44
63,customer,6,172,customer,51,50
63,customer,7,214,customer,52,53
63,customer,8,239,customer,52,52
63,customer,9,20,customer,83,84
63,customer,10,249,customer,87,87
64,customer,1,294,customer,0,0
64,customer,2,98,customer,6,10
64,customer,3,148,customer,6,10
64,customer,4,171,customer,6,9
64,customer,5,258,customer,6,9
64,customer,6,315,customer,6,10
64,customer,7,47,customer,7,9
64,customer,8,62,customer,7,9
64,customer,9,48,customer,8,11
64,customer,10,108,customer,8,11
65,customer,1,218,customer,0,0
65,customer,2,201,customer,8,8
65,customer,3,255,customer,10,10
65,customer,4,174,customer,11,11
65,customer,5,219,customer,11,11
65,customer,6,257,customer,12,12
65,customer,7,288,customer,12,12
65,customer,8,92,customer,14,20
65,customer,9,318,customer,14,20
65,customer,10,188,customer,17,19
66,customer,1,149,customer,0,0
66,customer,2,79,customer,18,19
66,customer,3,26,customer,23,21
66,customer,4,34,customer,23,23
66,customer,5,270,customer,23,23
66,customer,6,296,customer,29,24
66,customer,7,28,customer,31,25
66,customer,8,102,customer,41,33
66,customer,9,286,customer,41,40
66,customer,10,35,customer,42,37
67,customer,1,5,customer,0,0
67,customer,2,32,customer,0,0
67,customer,3,126,customer,0,0
67,customer,4,269,customer,0,0
67,customer,5,302,customer,0,0
67,customer,6,311,customer,0,0
67,customer,7,324,customer,0,0
67,customer,8,58,customer,9,10
67,customer,9,154,customer,9,10
67,customer,10,240,customer,10,13
68,customer,1,59,customer,13,14
68,customer,2,185,customer,13,14
68,customer,3,192,customer,13,14
68,customer,4,135,customer,18,19
68,customer,5,170,customer,19,20
68,customer,6,49,customer,20,20
68,customer,7,78,customer,20,22
68,customer,8,124,customer,20,20
68,customer,9,158,customer,20,20
68,customer,10,209,customer,20,20
69,customer,1,220,customer,5,5
69,customer,2,224,customer,5,5
69,customer,3,267,customer,6,6
69,customer,4,275,customer,6,5
69,customer,5,4,customer,7,7
69,customer,6,136,customer,7,7
69,customer,7,73,customer,8,7
69,customer,8,196,customer,8,8
69,customer,9,279,customer,8,8
69,customer,10,176,customer,9,10
70,customer,1,91,customer,9,9
70,customer,2,179,customer,9,9
70,customer,3,181,customer,19,20
70,customer,4,115,customer,23,24
70,customer,5,223,customer,24,24
70,customer,6,203,customer,29,29
70,customer,7,290,customer,45,45
70,customer,8,262,customer,46,41
70,customer,9,306,customer,47,47
70,customer,10,303,customer,51,51
71,customer,1,233,customer,0,0
71,customer,2,114,customer,4,3
71,customer,3,99,customer,5,4
71,customer,4,157,customer,5,6
71,customer,5,165,customer,5,4
71,customer,6,210,customer,5,6
71,customer,7,213,customer,5,4
71,customer,8,242,customer,5,4
71,customer,9,274,customer,5,4
71,customer,10,263,customer,6,4
72,customer,1,202,customer,5,5
72,customer,2,232,customer,5,5
72,customer,3,90,customer,19,19
72,customer,4,39,customer,20,19
72,customer,5,213,customer,20,28
72,customer,6,114,customer,21,26
72,customer,7,165,customer,22,28
72,customer,8,242,customer,22,28
72,customer,9,274,customer,22,28
72,customer,10,104,customer,23,24
73,customer,1,259,customer,2,2
73,customer,2,171,customer,5,5
73,customer,3,258,customer,5,5
73,customer,4,275,customer,5,5
73,customer,5,176,customer,6,6
73,customer,6,69,customer,7,8
73,customer,7,220,customer,9,9
73,customer,8,224,customer,9,9
73,customer,9,4,customer,10,12
73,customer,10,136,customer,10,12
74,customer,1,51,customer,0,0
74,customer,2,132,customer,0,0
74,customer,3,38,customer,1,1
74,customer,4,125,customer,1,1
74,customer,5,15,customer,4,3
74,customer,6,253,customer,6,10
74,customer,7,261,customer,6,10
74,customer,8,180,customer,7,9
74,customer,9,304,customer,7,9
74,customer,10,147,customer,11,12
75,customer,1,204,customer,25,31
75,customer,2,227,customer,29,29
75,customer,3,27,customer,31,36
75,customer,4,150,customer,31,36
75,customer,5,197,customer,31,36
75,customer,6,129,customer,35,39
75,customer,7,200,customer,37,40
75,customer,8,254,customer,39,44
75,customer,9,85,customer,41,43
75,customer,10,307,customer,45,49
76,customer,1,155,customer,6,7
76,customer,2,184,customer,11,13
76,customer,3,113,customer,12,14
76,customer,4,161,customer,16,20
76,customer,5,111,customer,19,20
76,customer,6,188,customer,21,18
76,customer,7,201,customer,22,23
76,customer,8,174,customer,24,27
76,customer,9,219,customer,24,27
76,customer,10,257,customer,24,27
77,customer,1,116,customer,15,15
77,customer,2,217,customer,24,25
77,customer,3,18,customer,53,51
77,customer,4,229,customer,55,54
77,customer,5,169,customer,59,58
77,customer,6,21,customer,66,66
77,customer,7,130,customer,66,66
77,customer,8,221,customer,66,66
77,customer,9,277,customer,66,65
77,customer,10,145,customer,67,64
78,customer,1,243,customer,0,0
78,customer,2,291,customer,0,0
78,customer,3,59,customer,11,11
78,customer,4,185,customer,11,11
78,customer,5,192,customer,11,11
78,customer,6,0,base,12,12
78,customer,7,1,source,13,13
78,customer,8,135,customer,21,15
78,customer,9,68,customer,22,20
78,customer,10,134,customer,22,22
79,customer,1,34,customer,7,7
79,customer,2,270,customer,7,7
79,customer,3,26,customer,11,9
79,customer,4,66,customer,19,18
79,customer,5,149,customer,19,18
79,customer,6,286,customer,26,27
79,customer,7,325,customer,29,30
79,customer,8,35,customer,30,31
79,customer,9,153,customer,32,33
79,customer,10,12,customer,34,33
80,customer,1,301,customer,12,10
80,customer,2,10,customer,29,27
80,customer,3,167,customer,29,27
80,customer,4,162,customer,41,40
80,customer,5,134,customer,47,47
80,customer,6,284,customer,49,50
80,customer,7,152,customer,50,40
80,customer,8,322,customer,50,48
80,customer,9,68,customer,51,50
80,customer,10,0,base,52,50
81,customer,1,6,customer,7,6
81,customer,2,63,customer,8,7
81,customer,3,156,customer,32,31
81,customer,4,128,customer,36,36
81,customer,5,295,customer,36,36
81,customer,6,172,customer,44,42
81,customer,7,239,customer,44,44
81,customer,8,214,customer,45,45
81,customer,9,20,customer,90,90
81,customer,10,249,customer,94,93
82,customer,1,144,customer,20,19
82,customer,2,189,customer,20,19
82,customer,3,234,customer,35,32
82,customer,4,31,customer,44,40
82,customer,5,198,customer,44,40
82,customer,6,58,customer,45,42
82,customer,7,126,customer,45,42
82,customer,8,154,customer,45,42
82,customer,9,324,customer,45,42
82,customer,10,240,customer,46,44
83,customer,1,7,customer,1,1
83,customer,2,105,customer,3,3
83,customer,3,93,customer,22,21
83,customer,4,321,customer,22,21
83,customer,5,56,customer,26,26
83,customer,6,122,customer,26,20
83,customer,7,29,customer,35,34
83,customer,8,168,customer,38,37
83,customer,9,252,customer,38,38
83,customer,10,36,customer,42,42
84,customer,1,100,customer,1,1
84,customer,2,173,customer,5,7
84,customer,3,112,customer,7,7
84,customer,4,196,customer,9,8
84,customer,5,279,customer,9,8
84,customer,6,53,customer,10,9
84,customer,7,220,customer,10,9
84,customer,8,224,customer,10,9
84,customer,9,22,customer,11,13
84,customer,10,267,customer,11,10
85,customer,1,30,customer,9,11
85,customer,2,75,customer,43,41
85,customer,3,204,customer,44,50
85,customer,4,227,customer,56,53
85,customer,5,27,customer,58,59
85,customer,6,150,customer,58,59
85,customer,7,197,customer,58,60
85,customer,8,129,customer,62,63
85,customer,9,200,customer,65,64
85,customer,10,254,customer,66,68
86,customer,1,278,customer,0,0
86,customer,2,92,customer,4,3
86,customer,3,318,customer,4,3
86,customer,4,255,customer,13,13
86,customer,5,4,customer,14,13
86,customer,6,84,customer,14,15
86,customer,7,136,customer,14,13
86,customer,8,174,customer,14,15
86,customer,9,201,customer,14,17
86,customer,10,219,customer,14,15
87,customer,1,293,customer,5,5
87,customer,2,283,customer,8,8
87,customer,3,245,customer,9,9
