s,laplace_transform
0.12,685.6207621944822
0.121,680.2656503089212
0.122,674.9962922328949
0.123,669.8106273115393
0.124,664.7066611352044
0.125,659.6824628841953
0.126,654.7361627999661
0.127,649.8659497758774
0.128,645.0700690609852
0.129,640.3468200707891
0.13,635.6945542991899
0.131,631.1116733262674
0.132,626.5966269168246
0.133,622.1479112049338
0.134,617.7640669599855
0.135,613.443677930046
0.136,609.1853692585289
0.137,604.987805970445
0.138,600.8496915247069
0.139,596.7697664291509
0.14,592.7468069151511
0.141,588.7796236688503
0.142,584.8670606162282
0.143,581.0079937593562
0.144,577.201330061348
0.145,573.4460063776579
0.146,569.7409884314882
0.147,566.0852698312011
0.148,562.4778711277546
0.149,558.917838910261
0.15,555.404244937887
0.151,551.9361853064095
0.152,548.5127796478207
0.153,545.1331703614678
0.154,541.7965218752779
0.155,538.5020199357147
0.156,535.2488709251758
0.157,532.0363012055749
0.158,528.8635564869812
0.159,525.7299012201754
0.16,522.6346180120864
0.161,519.5770070631072
0.162,516.5563856253393
0.163,513.5720874808533
0.164,510.6234624391194
0.165,507.7098758527875
0.166,504.83070815102883
0.167,501.9853543897109
0.168,499.1732238176946
0.169,496.3937394585812
0.17,493.6463377072724
0.171,490.9304679407326
0.172,488.2455921423697
0.173,485.5911845394839
0.174,482.96673125325304
0.175,480.37172996075094
0.176,477.80568956851647
0.177,475.2681298972179
0.178,472.7585813769672
0.179,470.27658475286955
0.18,467.82169080040984
0.181,465.3934600502849
0.182,462.9914625223282
0.183,460.6152774681669
0.184,458.2644931222819
0.185,455.93870646115266
0.186,453.63752297017464
0.187,451.36055641806644
0.188,449.1074286384736
0.189,446.8777693185159
0.19,444.67121579400776
0.191,442.4874128511121
0.192,440.3260125341955
0.193,438.1866739596498
0.194,436.069063135469
0.195,433.97285278637634
0.196,431.8977221842952
0.197,429.8433569839819
0.198,427.8094490636272
0.199,425.795696370261
0.2,423.80180276978166
0.201,421.82747790145845
0.202,419.8724370367406
0.203,417.936400942235
0.204,416.0190957466981
0.205,414.1202528119126
0.206,412.23960860731404
0.207,410.37690458823494
0.208,408.5318870776574
0.209,406.7043071513378
0.21,404.8939205262087
0.211,403.10048745193603
0.212,401.323772605535
0.213,399.56354498893904
0.214,397.81957782943033
0.215,396.0916484828281
0.216,394.3795383393606
0.217,392.6830327321193
0.218,391.001920848022
0.219,389.33599564119794
0.22,387.68505374872296
0.221,386.0488954086294
0.222,384.4273243801117
0.223,382.8201478658709
0.224,381.2271764365211
0.225,379.6482239569985
0.226,378.0831075149074
0.227,376.5316473507512
0.228,374.9936667899777
0.229,373.46899217679663
0.23,371.9574528097066
0.231,370.45888087868235
0.232,368.97311140397295
0.233,367.49998217646254
0.234,366.039333699546
0.235,364.591009132472
0.236,363.1548542351184
0.237,361.73071731414706
0.238,360.31844917050444
0.239,358.91790304822825
0.24,357.52893458451615
0.241,356.1514017610308
0.242,354.7851648563923
0.243,353.43008639983793
0.244,352.08603112600105
0.245,350.75286593079056
0.246,349.4304598283332
0.247,348.1186839089448
0.248,346.8174112981135
0.249,345.52651711645336
0.25,344.2458784406081
0.251,342.97537426508114
0.252,341.71488546495925
0.253,340.4642947595097
0.254,339.22348667662624
0.255,337.9923475181002
0.256,336.7707653256958
0.257,335.558629848004
0.258,334.35583250805905
0.259,333.16226637169274
0.26,331.9778261166108
0.261,330.8024080021663
0.262,329.63590983981845
0.263,328.4782309642547
0.264,327.3292722051577
0.265,326.18893585960245
0.266,325.0571256650699
0.267,323.93374677305025
0.268,322.8187057232353
0.269,321.71191041827433
0.27,320.61327009907984
0.271,319.5226953206757
0.272,318.44009792856565
0.273,317.36539103561455
0.274,316.2984889994258
0.275,315.23930740020666
0.276,314.1877630191043
0.277,313.14377381700365
0.278,312.10725891377507
0.279,311.07813856796076
0.28,310.05633415688925
0.281,309.041768157206
0.282,308.0343641258106
0.283,307.0340466811924
0.284,306.0407414851515
0.285,305.0543752249014
0.286,304.07487559553203
0.287,303.1021712828441
0.288,302.13619194652256
0.289,301.1768682036625
0.29,300.22413161262466
0.291,299.2779146572164
0.292,298.3381507311963
0.293,297.40477412308445
0.294,296.4777200012814
0.295,295.5569243994812
0.296,294.642324202375
0.297,293.7338571316368
0.298,292.83146173218984
0.299,291.93507735873595
0.3,291.04464416255735
0.301,290.1601030785678
0.302,289.28139581262343
0.303,288.40846482907403
0.304,287.54125333855865
0.305,286.67970528603524
0.306,285.8237653390382
0.307,284.97337887616465
0.308,284.12849197577685
0.309,283.2890514049207
0.31,282.4550046084557
0.311,281.62629969838815
0.312,280.80288544340453
0.313,279.9847112586042
0.314,279.1717271954232
0.315,278.36388393174394
0.316,277.5611327621902
0.317,276.76342558860154
0.318,275.97071491068544
0.319,275.18295381683816
0.32,274.40009597513654
0.321,273.62209562449306
0.322,272.8489075659741
0.323,272.0804871542727
0.324,271.3167902893401
0.325,270.55777340816445
0.326,269.8033934766994
0.327,269.05360798193874
0.328,268.3083749241302
0.329,267.5676528091287
0.33,266.8314006408877
0.331,266.09957791408357
0.332,265.3721446068655
0.333,264.64906117373914
0.334,263.93028853857237
0.335,263.21578808772335
0.336,262.5055216632913
0.337,261.7994515564801
0.338,261.0975405010814
0.339,260.39975166706836
0.34,259.7060486543008
0.341,259.01639548633796
0.342,258.33075660435827
0.343,257.6490968611811
0.344,256.97138151539536
0.345,256.2975762255804
0.346,255.62764704463206
0.347,254.96156041418106
0.348,254.2992831591053
0.349,253.64078248213642
0.35,252.98602595855448
0.351,252.33498153097358
0.352,251.68761750421274
0.353,251.04390254025236
0.354,250.40380565327527
0.355,249.76729620478784
0.356,249.13434389882428
0.357,248.50491877722683
0.358,247.8789912150047
0.359,247.25653191577
0.36,246.63751190724565
0.361,246.02190253684813
0.362,245.40967546734151
0.363,244.80080267256085
0.364,244.1952564332063
0.365,243.59300933270245
0.366,242.99403425312687
0.367,242.39830437120122
0.368,241.80579315434824
0.369,241.2164743568101
0.37,240.63032201582928
0.371,240.04731044788926
0.372,239.46741424501522
0.373,238.8906082711321
0.374,238.3168676584813
0.375,237.74616780409104
0.376,237.17848436630473
0.377,236.61379326136128
0.378,236.0520706600296
0.379,235.49329298429524
0.38,234.93743690409732
0.381,234.38447933411737
0.382,233.83439743061555
0.383,233.28716858831817
0.384,232.7427704373495
0.385,232.2011808402129
0.386,231.66237788881708
0.387,231.12633990154802
0.388,230.5930454203839
0.389,230.06247320805542
0.39,229.53460224524736
0.391,229.0094117278436
0.392,228.4868810642122
0.393,227.96698987253194
0.394,227.4497179781587
0.395,226.9350454110309
0.396,226.42295240311287
0.397,225.91341938587772
0.398,225.4064269878256
0.399,224.90195603203912
0.4,224.39998753377654
