timestamp,hour,time_days,tank_level,refilled
2026-01-03T00,48,2.0,88.64,False
2026-01-03T01,49,2.041667,88.41,False
2026-01-03T02,50,2.083333,88.18,False
2026-01-03T03,51,2.125,87.95,False
2026-01-03T04,52,2.166667,87.73,False
2026-01-03T05,53,2.208333,87.5,False
2026-01-03T06,54,2.25,87.27,False
2026-01-03T07,55,2.291667,87.04,False
2026-01-03T08,56,2.333333,86.81,False
2026-01-03T09,57,2.375,86.58,False
2026-01-03T10,58,2.416667,86.36,False
2026-01-03T11,59,2.458333,86.13,False
2026-01-03T12,60,2.5,85.9,False
2026-01-03T13,61,2.541667,85.67,False
2026-01-03T14,62,2.583333,85.44,False
2026-01-03T15,63,2.625,85.21,False
2026-01-03T16,64,2.666667,84.99,False
2026-01-03T17,65,2.708333,84.76,False
2026-01-03T18,66,2.75,84.53,False
2026-01-03T19,67,2.791667,84.3,False
2026-01-03T20,68,2.833333,84.07,False
2026-01-03T21,69,2.875,83.84,False
2026-01-03T22,70,2.916667,83.62,False
2026-01-03T23,71,2.958333,83.39,False
2026-01-04T00,72,3.0,83.16,False
2026-01-04T01,73,3.041667,82.92,False
2026-01-04T02,74,3.083333,82.68,False
2026-01-04T03,75,3.125,82.44,False
2026-01-04T04,76,3.166667,82.2,False
2026-01-04T05,77,3.208333,81.96,False
2026-01-04T06,78,3.25,81.72,False
2026-01-04T07,79,3.291667,81.48,False
2026-01-04T08,80,3.333333,81.24,False
2026-01-04T09,81,3.375,81.0,False
2026-01-04T10,82,3.416667,80.76,False
2026-01-04T11,83,3.458333,80.52,False
2026-01-04T12,84,3.5,80.28,False
2026-01-04T13,85,3.541667,80.04,False
2026-01-04T14,86,3.583333,79.8,False
2026-01-04T15,87,3.625,79.56,False
2026-01-04T16,88,3.666667,79.31,False
2026-01-04T17,89,3.708333,79.07,False
2026-01-04T18,90,3.75,78.83,False
2026-01-04T19,91,3.791667,78.59,False
2026-01-04T20,92,3.833333,78.35,False
2026-01-04T21,93,3.875,78.11,False
2026-01-04T22,94,3.916667,77.87,False
2026-01-04T23,95,3.958333,77.63,False
2026-01-05T00,96,4.0,77.39,False
2026-01-05T01,97,4.041667,77.14,False
2026-01-05T02,98,4.083333,76.9,False
2026-01-05T03,99,4.125,76.65,False
2026-01-05T04,100,4.166667,76.4,False
2026-01-05T05,101,4.208333,76.15,False
2026-01-05T06,102,4.25,75.9,False
2026-01-05T07,103,4.291667,75.66,False
2026-01-05T08,104,4.333333,75.41,False
2026-01-05T09,105,4.375,75.16,False
2026-01-05T10,106,4.416667,74.91,False
2026-01-05T11,107,4.458333,74.66,False
2026-01-05T12,108,4.5,74.42,False
2026-01-05T13,109,4.541667,74.17,False
2026-01-05T14,110,4.583333,73.92,False
2026-01-05T15,111,4.625,73.67,False
2026-01-05T16,112,4.666667,73.42,False
2026-01-05T17,113,4.708333,73.18,False
2026-01-05T18,114,4.75,72.93,False
2026-01-05T19,115,4.791667,72.68,False
2026-01-05T20,116,4.833333,72.43,False
2026-01-05T21,117,4.875,72.18,False
2026-01-05T22,118,4.916667,71.93,False
2026-01-05T23,119,4.958333,71.69,False
2026-01-06T00,120,5.0,71.44,False
2026-01-06T01,121,5.041667,71.19,False
2026-01-06T02,122,5.083333,70.93,False
2026-01-06T03,123,5.125,70.68,False
2026-01-06T04,124,5.166667,70.43,False
2026-01-06T05,125,5.208333,70.18,False
2026-01-06T06,126,5.25,69.92,False
2026-01-06T07,127,5.291667,69.67,False
2026-01-06T08,128,5.333333,69.42,False
2026-01-06T09,129,5.375,69.16,False
2026-01-06T10,130,5.416667,68.91,False
2026-01-06T11,131,5.458333,68.66,False
2026-01-06T12,132,5.5,68.41,False
2026-01-06T13,133,5.541667,68.15,False
2026-01-06T14,134,5.583333,67.9,False
2026-01-06T15,135,5.625,67.65,False
2026-01-06T16,136,5.666667,67.4,False
2026-01-06T17,137,5.708333,67.14,False
2026-01-06T18,138,5.75,66.89,False
2026-01-06T19,139,5.791667,66.64,False
2026-01-06T20,140,5.833333,66.39,False
2026-01-06T21,141,5.875,66.13,False
2026-01-06T22,142,5.916667,65.88,False
2026-01-06T23,143,5.958333,65.63,False
2026-01-07T00,144,6.0,65.37,False
2026-01-07T01,145,6.041667,65.13,False
2026-01-07T02,146,6.083333,64.89,False
2026-01-07T03,147,6.125,64.66,False
2026-01-07T04,148,6.166667,64.42,False
2026-01-07T05,149,6.208333,64.18,False
2026-01-07T06,150,6.25,63.94,False
2026-01-07T07,151,6.291667,63.7,False
2026-01-07T08,152,6.333333,63.46,False
2026-01-07T09,153,6.375,63.22,False
2026-01-07T10,154,6.416667,62.98,False
2026-01-07T11,155,6.458333,62.74,False
2026-01-07T12,156,6.5,62.5,False
2026-01-07T13,157,6.541667,62.26,False
2026-01-07T14,158,6.583333,62.02,False
2026-01-07T15,159,6.625,61.78,False
2026-01-07T16,160,6.666667,61.54,False
2026-01-07T17,161,6.708333,61.3,False
2026-01-07T18,162,6.75,61.06,False
2026-01-07T19,163,6.791667,60.82,False
2026-01-07T20,164,6.833333,60.58,False
2026-01-07T21,165,6.875,60.34,False
2026-01-07T22,166,6.916667,60.1,False
2026-01-07T23,167,6.958333,59.86,False
2026-01-08T00,168,7.0,59.62,False
2026-01-08T01,169,7.041667,59.38,False
2026-01-08T02,170,7.083333,59.13,False
2026-01-08T03,171,7.125,58.89,False
2026-01-08T04,172,7.166667,58.65,False
2026-01-08T05,173,7.208333,58.41,False
2026-01-08T06,174,7.25,58.17,False
2026-01-08T07,175,7.291667,57.93,False
2026-01-08T08,176,7.333333,57.68,False
2026-01-08T09,177,7.375,57.44,False
2026-01-08T10,178,7.416667,57.2,False
2026-01-08T11,179,7.458333,56.96,False
2026-01-08T12,180,7.5,56.72,False
2026-01-08T13,181,7.541667,56.48,False
2026-01-08T14,182,7.583333,56.23,False
2026-01-08T15,183,7.625,55.99,False
2026-01-08T16,184,7.666667,55.75,False
2026-01-08T17,185,7.708333,55.51,False
2026-01-08T18,186,7.75,55.27,False
2026-01-08T19,187,7.791667,55.03,False
2026-01-08T20,188,7.833333,54.78,False
2026-01-08T21,189,7.875,54.54,False
2026-01-08T22,190,7.916667,54.3,False
2026-01-08T23,191,7.958333,54.06,False
2026-01-09T00,192,8.0,53.82,False
2026-01-09T01,193,8.041667,53.59,False
2026-01-09T02,194,8.083333,53.37,False
2026-01-09T03,195,8.125,53.15,False
2026-01-09T04,196,8.166667,52.92,False
2026-01-09T05,197,8.208333,52.7,False
2026-01-09T06,198,8.25,52.48,False
2026-01-09T07,199,8.291667,52.25,False
2026-01-09T08,200,8.333333,52.03,False
2026-01-09T09,201,8.375,51.81,False
2026-01-09T10,202,8.416667,51.58,False
2026-01-09T11,203,8.458333,51.36,False
2026-01-09T12,204,8.5,51.13,False
2026-01-09T13,205,8.541667,50.91,False
2026-01-09T14,206,8.583333,50.69,False
2026-01-09T15,207,8.625,50.46,False
2026-01-09T16,208,8.666667,50.24,False
2026-01-09T17,209,8.708333,50.02,False
2026-01-09T18,210,8.75,49.79,False
2026-01-09T19,211,8.791667,49.57,False
2026-01-09T20,212,8.833333,49.35,False
2026-01-09T21,213,8.875,49.12,False
2026-01-09T22,214,8.916667,48.9,False
2026-01-09T23,215,8.958333,48.67,False
2026-01-10T00,216,9.0,48.45,False
2026-01-10T01,217,9.041667,48.21,False
2026-01-10T02,218,9.083333,47.97,False
2026-01-10T03,219,9.125,47.73,False
2026-01-10T04,220,9.166667,47.49,False
2026-01-10T05,221,9.208333,47.26,False
2026-01-10T06,222,9.25,47.02,False
2026-01-10T07,223,9.291667,46.78,False
2026-01-10T08,224,9.333333,46.54,False
2026-01-10T09,225,9.375,46.3,False
2026-01-10T10,226,9.416667,46.06,False
2026-01-10T11,227,9.458333,45.82,False
2026-01-10T12,228,9.5,45.58,False
2026-01-10T13,229,9.541667,45.34,False
2026-01-10T14,230,9.583333,45.1,False
2026-01-10T15,231,9.625,44.86,False
2026-01-10T16,232,9.666667,44.63,False
2026-01-10T17,233,9.708333,44.39,False
2026-01-10T18,234,9.75,44.15,False
2026-01-10T19,235,9.791667,43.91,False
2026-01-10T20,236,9.833333,43.67,False
2026-01-10T21,237,9.875,43.43,False
2026-01-10T22,238,9.916667,43.19,False
2026-01-10T23,239,9.958333,42.95,False
2026-01-11T00,240,10.0,42.71,False
2026-01-11T01,241,10.041667,42.48,False
2026-01-11T02,242,10.083333,42.24,False
2026-01-11T03,243,10.125,42.0,False
2026-01-11T04,244,10.166667,41.76,False
2026-01-11T05,245,10.208333,41.53,False
2026-01-11T06,246,10.25,41.29,False
2026-01-11T07,247,10.291667,41.05,False
2026-01-11T08,248,10.333333,40.82,False
2026-01-11T09,249,10.375,40.58,False
2026-01-11T10,250,10.416667,40.34,False
2026-01-11T11,251,10.458333,40.11,False
2026-01-11T12,252,10.5,39.87,False
2026-01-11T13,253,10.541667,39.63,False
2026-01-11T14,254,10.583333,39.4,False
2026-01-11T15,255,10.625,39.16,False
2026-01-11T16,256,10.666667,38.92,False
2026-01-11T17,257,10.708333,38.69,False
2026-01-11T18,258,10.75,38.45,False
2026-01-11T19,259,10.791667,38.21,False
2026-01-11T20,260,10.833333,37.97,False
2026-01-11T21,261,10.875,37.74,False
2026-01-11T22,262,10.916667,37.5,False
2026-01-11T23,263,10.958333,37.26,False
2026-01-12T00,264,11.0,37.03,False
2026-01-12T01,265,11.041667,36.77,False
2026-01-12T02,266,11.083333,36.52,False
2026-01-12T03,267,11.125,36.26,False
2026-01-12T04,268,11.166667,36.01,False
2026-01-12T05,269,11.208333,35.75,False
2026-01-12T06,270,11.25,35.5,False
2026-01-12T07,271,11.291667,35.24,False
2026-01-12T08,272,11.333333,34.99,False
2026-01-12T09,273,11.375,34.73,False
2026-01-12T10,274,11.416667,34.48,False
2026-01-12T11,275,11.458333,34.22,False
2026-01-12T12,276,11.5,33.97,False
2026-01-12T13,277,11.541667,33.71,False
2026-01-12T14,278,11.583333,33.46,False
2026-01-12T15,279,11.625,33.2,False
2026-01-12T16,280,11.666667,32.95,False
2026-01-12T17,281,11.708333,32.69,False
2026-01-12T18,282,11.75,32.44,False
2026-01-12T19,283,11.791667,32.18,False
2026-01-12T20,284,11.833333,31.93,False
2026-01-12T21,285,11.875,31.67,False
2026-01-12T22,286,11.916667,31.42,False
2026-01-12T23,287,11.958333,31.16,False
2026-01-13T00,288,12.0,30.91,False
2026-01-13T01,289,12.041667,30.67,False
2026-01-13T02,290,12.083333,30.42,False
2026-01-13T03,291,12.125,30.18,False
2026-01-13T04,292,12.166667,29.94,False
2026-01-13T05,293,12.208333,29.69,False
2026-01-13T06,294,12.25,29.45,False
2026-01-13T07,295,12.291667,29.21,False
2026-01-13T08,296,12.333333,28.96,False
2026-01-13T09,297,12.375,28.72,False
2026-01-13T10,298,12.416667,28.48,False
2026-01-13T11,299,12.458333,28.23,False
2026-01-13T12,300,12.5,27.99,False
2026-01-13T13,301,12.541667,27.75,False
2026-01-13T14,302,12.583333,27.5,False
2026-01-13T15,303,12.625,27.26,False
2026-01-13T16,304,12.666667,27.01,False
2026-01-13T17,305,12.708333,26.77,False
2026-01-13T18,306,12.75,26.53,False
2026-01-13T19,307,12.791667,26.28,False
2026-01-13T20,308,12.833333,26.04,False
2026-01-13T21,309,12.875,25.8,False
2026-01-13T22,310,12.916667,25.55,False
2026-01-13T23,311,12.958333,25.31,False
2026-01-14T00,312,13.0,25.07,False
2026-01-14T01,313,13.041667,24.82,False
2026-01-14T02,314,13.083333,24.57,False
2026-01-14T03,315,13.125,24.31,False
2026-01-14T04,316,13.166667,24.06,False
2026-01-14T05,317,13.208333,23.81,False
2026-01-14T06,318,13.25,23.56,False
2026-01-14T07,319,13.291667,23.31,False
2026-01-14T08,320,13.333333,23.06,False
2026-01-14T09,321,13.375,22.81,False
2026-01-14T10,322,13.416667,22.56,False
2026-01-14T11,323,13.458333,22.3,False
2026-01-14T12,324,13.5,22.05,False
2026-01-14T13,325,13.541667,21.8,False
2026-01-14T14,326,13.583333,21.55,False
2026-01-14T15,327,13.625,21.3,False
2026-01-14T16,328,13.666667,21.05,False
2026-01-14T17,329,13.708333,20.8,False
2026-01-14T18,330,13.75,20.55,False
2026-01-14T19,331,13.791667,100.0,True
2026-01-14T20,332,13.833333,99.75,False
2026-01-14T21,333,13.875,99.5,False
2026-01-14T22,334,13.916667,99.25,False
2026-01-14T23,335,13.958333,99.0,False
2026-01-15T00,336,14.0,98.74,False
2026-01-15T01,337,14.041667,98.5,False
2026-01-15T02,338,14.083333,98.27,False
2026-01-15T03,339,14.125,98.03,False
2026-01-15T04,340,14.166667,97.79,False
2026-01-15T05,341,14.208333,97.55,False
2026-01-15T06,342,14.25,97.31,False
2026-01-15T07,343,14.291667,97.07,False
2026-01-15T08,344,14.333333,96.83,False
2026-01-15T09,345,14.375,96.59,False
2026-01-15T10,346,14.416667,96.35,False
2026-01-15T11,347,14.458333,96.11,False
2026-01-15T12,348,14.5,95.87,False
2026-01-15T13,349,14.541667,95.63,False
2026-01-15T14,350,14.583333,95.4,False
2026-01-15T15,351,14.625,95.16,False
2026-01-15T16,352,14.666667,94.92,False
2026-01-15T17,353,14.708333,94.68,False
2026-01-15T18,354,14.75,94.44,False
2026-01-15T19,355,14.791667,94.2,False
2026-01-15T20,356,14.833333,93.96,False
2026-01-15T21,357,14.875,93.72,False
2026-01-15T22,358,14.916667,93.48,False
2026-01-15T23,359,14.958333,93.24,False
2026-01-16T00,360,15.0,93.0,False
2026-01-16T01,361,15.041667,92.77,False
2026-01-16T02,362,15.083333,92.54,False
2026-01-16T03,363,15.125,92.31,False
2026-01-16T04,364,15.166667,92.09,False
2026-01-16T05,365,15.208333,91.86,False
2026-01-16T06,366,15.25,91.63,False
2026-01-16T07,367,15.291667,91.4,False
2026-01-16T08,368,15.333333,91.17,False
2026-01-16T09,369,15.375,90.94,False
2026-01-16T10,370,15.416667,90.71,False
2026-01-16T11,371,15.458333,90.48,False
2026-01-16T12,372,15.5,90.25,False
2026-01-16T13,373,15.541667,90.02,False
2026-01-16T14,374,15.583333,89.79,False
2026-01-16T15,375,15.625,89.56,False
2026-01-16T16,376,15.666667,89.33,False
2026-01-16T17,377,15.708333,89.1,False
2026-01-16T18,378,15.75,88.87,False
2026-01-16T19,379,15.791667,88.64,False
2026-01-16T20,380,15.833333,88.41,False
2026-01-16T21,381,15.875,88.18,False
2026-01-16T22,382,15.916667,87.95,False
2026-01-16T23,383,15.958333,87.72,False
2026-01-17T00,384,16.0,87.49,False
2026-01-17T01,385,16.041667,87.24,False
2026-01-17T02,386,16.083333,86.98,False
2026-01-17T03,387,16.125,86.73,False
2026-01-17T04,388,16.166667,86.48,False
2026-01-17T05,389,16.208333,86.22,False
2026-01-17T06,390,16.25,85.97,False
2026-01-17T07,391,16.291667,85.71,False
2026-01-17T08,392,16.333333,85.46,False
2026-01-17T09,393,16.375,85.2,False
2026-01-17T10,394,16.416667,84.95,False
2026-01-17T11,395,16.458333,84.69,False
2026-01-17T12,396,16.5,84.44,False
2026-01-17T13,397,16.541667,84.18,False
2026-01-17T14,398,16.583333,83.93,False
2026-01-17T15,399,16.625,83.67,False
2026-01-17T16,400,16.666667,83.42,False
2026-01-17T17,401,16.708333,83.16,False
2026-01-17T18,402,16.75,82.91,False
2026-01-17T19,403,16.791667,82.65,False
2026-01-17T20,404,16.833333,82.4,False
2026-01-17T21,405,16.875,82.14,False
2026-01-17T22,406,16.916667,81.89,False
2026-01-17T23,407,16.958333,81.63,False
2026-01-18T00,408,17.0,81.38,False
2026-01-18T01,409,17.041667,81.13,False
2026-01-18T02,410,17.083333,80.87,False
2026-01-18T03,411,17.125,80.62,False
2026-01-18T04,412,17.166667,80.36,False
2026-01-18T05,413,17.208333,80.11,False
2026-01-18T06,414,17.25,79.86,False
2026-01-18T07,415,17.291667,79.6,False
2026-01-18T08,416,17.333333,79.35,False
2026-01-18T09,417,17.375,79.1,False
2026-01-18T10,418,17.416667,78.84,False
2026-01-18T11,419,17.458333,78.59,False
2026-01-18T12,420,17.5,78.33,False
2026-01-18T13,421,17.541667,78.08,False
2026-01-18T14,422,17.583333,77.83,False
2026-01-18T15,423,17.625,77.57,False
2026-01-18T16,424,17.666667,77.32,False
2026-01-18T17,425,17.708333,77.07,False
2026-01-18T18,426,17.75,76.81,False
2026-01-18T19,427,17.791667,76.56,False
2026-01-18T20,428,17.833333,76.31,False
2026-01-18T21,429,17.875,76.05,False
2026-01-18T22,430,17.916667,75.8,False
2026-01-18T23,431,17.958333,75.54,False
2026-01-19T00,432,18.0,75.29,False
2026-01-19T01,433,18.041667,75.05,False
2026-01-19T02,434,18.083333,74.82,False
2026-01-19T03,435,18.125,74.58,False
2026-01-19T04,436,18.166667,74.34,False
2026-01-19T05,437,18.208333,74.11,False
2026-01-19T06,438,18.25,73.87,False
2026-01-19T07,439,18.291667,73.63,False
2026-01-19T08,440,18.333333,73.39,False
2026-01-19T09,441,18.375,73.16,False
2026-01-19T10,442,18.416667,72.92,False
2026-01-19T11,443,18.458333,72.68,False
2026-01-19T12,444,18.5,72.45,False
2026-01-19T13,445,18.541667,72.21,False
2026-01-19T14,446,18.583333,71.97,False
2026-01-19T15,447,18.625,71.74,False
2026-01-19T16,448,18.666667,71.5,False
2026-01-19T17,449,18.708333,71.26,False
2026-01-19T18,450,18.75,71.02,False
2026-01-19T19,451,18.791667,70.79,False
2026-01-19T20,452,18.833333,70.55,False
2026-01-19T21,453,18.875,70.31,False
2026-01-19T22,454,18.916667,70.08,False
2026-01-19T23,455,18.958333,69.84,False
2026-01-20T00,456,19.0,69.6,False
2026-01-20T01,457,19.041667,69.38,False
2026-01-20T02,458,19.083333,69.15,False
2026-01-20T03,459,19.125,68.92,False
2026-01-20T04,460,19.166667,68.7,False
2026-01-20T05,461,19.208333,68.47,False
2026-01-20T06,462,19.25,68.24,False
2026-01-20T07,463,19.291667,68.02,False
2026-01-20T08,464,19.333333,67.79,False
2026-01-20T09,465,19.375,67.56,False
2026-01-20T10,466,19.416667,67.34,False
2026-01-20T11,467,19.458333,67.11,False
2026-01-20T12,468,19.5,66.88,False
2026-01-20T13,469,19.541667,66.66,False
2026-01-20T14,470,19.583333,66.43,False
2026-01-20T15,471,19.625,66.2,False
2026-01-20T16,472,19.666667,65.98,False
2026-01-20T17,473,19.708333,65.75,False
2026-01-20T18,474,19.75,65.53,False
2026-01-20T19,475,19.791667,65.3,False
2026-01-20T20,476,19.833333,65.07,False
2026-01-20T21,477,19.875,64.85,False
2026-01-20T22,478,19.916667,64.62,False
2026-01-20T23,479,19.958333,64.39,False
2026-01-21T00,480,20.0,64.17,False
2026-01-21T01,481,20.041667,63.92,False
2026-01-21T02,482,20.083333,63.68,False
2026-01-21T03,483,20.125,63.44,False
2026-01-21T04,484,20.166667,63.2,False
2026-01-21T05,485,20.208333,62.96,False
2026-01-21T06,486,20.25,62.71,False
2026-01-21T07,487,20.291667,62.47,False
2026-01-21T08,488,20.333333,62.23,False
2026-01-21T09,489,20.375,61.99,False
2026-01-21T10,490,20.416667,61.74,False
2026-01-21T11,491,20.458333,61.5,False
2026-01-21T12,492,20.5,61.26,False
2026-01-21T13,493,20.541667,61.02,False
2026-01-21T14,494,20.583333,60.78,False
2026-01-21T15,495,20.625,60.53,False
2026-01-21T16,496,20.666667,60.29,False
2026-01-21T17,497,20.708333,60.05,False
2026-01-21T18,498,20.75,59.81,False
2026-01-21T19,499,20.791667,59.57,False
2026-01-21T20,500,20.833333,59.32,False
2026-01-21T21,501,20.875,59.08,False
2026-01-21T22,502,20.916667,58.84,False
2026-01-21T23,503,20.958333,58.6,False
2026-01-22T00,504,21.0,58.35,False
2026-01-22T01,505,21.041667,58.11,False
2026-01-22T02,506,21.083333,57.87,False
2026-01-22T03,507,21.125,57.63,False
2026-01-22T04,508,21.166667,57.39,False
2026-01-22T05,509,21.208333,57.15,False
2026-01-22T06,510,21.25,56.91,False
2026-01-22T07,511,21.291667,56.66,False
2026-01-22T08,512,21.333333,56.42,False
2026-01-22T09,513,21.375,56.18,False
2026-01-22T10,514,21.416667,55.94,False
2026-01-22T11,515,21.458333,55.7,False
2026-01-22T12,516,21.5,55.46,False
2026-01-22T13,517,21.541667,55.22,False
2026-01-22T14,518,21.583333,54.97,False
2026-01-22T15,519,21.625,54.73,False
2026-01-22T16,520,21.666667,54.49,False
2026-01-22T17,521,21.708333,54.25,False
2026-01-22T18,522,21.75,54.01,False
2026-01-22T19,523,21.791667,53.77,False
2026-01-22T20,524,21.833333,53.52,False
2026-01-22T21,525,21.875,53.28,False
2026-01-22T22,526,21.916667,53.04,False
2026-01-22T23,527,21.958333,100.0,True
2026-01-23T00,528,22.0,99.76,False
2026-01-23T01,529,22.041667,99.51,False
2026-01-23T02,530,22.083333,99.25,False
2026-01-23T03,531,22.125,99.0,False
2026-01-23T04,532,22.166667,98.75,False
2026-01-23T05,533,22.208333,98.5,False
2026-01-23T06,534,22.25,98.25,False
2026-01-23T07,535,22.291667,98.0,False
2026-01-23T08,536,22.333333,97.74,False
2026-01-23T09,537,22.375,97.49,False
2026-01-23T10,538,22.416667,97.24,False
2026-01-23T11,539,22.458333,96.99,False
2026-01-23T12,540,22.5,96.74,False
2026-01-23T13,541,22.541667,96.48,False
2026-01-23T14,542,22.583333,96.23,False
2026-01-23T15,543,22.625,95.98,False
2026-01-23T16,544,22.666667,95.73,False
2026-01-23T17,545,22.708333,95.48,False
2026-01-23T18,546,22.75,95.22,False
2026-01-23T19,547,22.791667,94.97,False
2026-01-23T20,548,22.833333,94.72,False
2026-01-23T21,549,22.875,94.47,False
2026-01-23T22,550,22.916667,94.22,False
2026-01-23T23,551,22.958333,93.97,False
2026-01-24T00,552,23.0,93.71,False
2026-01-24T01,553,23.041667,93.47,False
2026-01-24T02,554,23.083333,93.22,False
2026-01-24T03,555,23.125,92.98,False
2026-01-24T04,556,23.166667,92.73,False
2026-01-24T05,557,23.208333,92.49,False
2026-01-24T06,558,23.25,92.24,False
2026-01-24T07,559,23.291667,92.0,False
2026-01-24T08,560,23.333333,91.75,False
2026-01-24T09,561,23.375,91.51,False
2026-01-24T10,562,23.416667,91.26,False
2026-01-24T11,563,23.458333,91.01,False
2026-01-24T12,564,23.5,90.77,False
2026-01-24T13,565,23.541667,90.52,False
2026-01-24T14,566,23.583333,90.28,False
2026-01-24T15,567,23.625,90.03,False
2026-01-24T16,568,23.666667,89.79,False
2026-01-24T17,569,23.708333,89.54,False
2026-01-24T18,570,23.75,89.3,False
2026-01-24T19,571,23.791667,89.05,False
2026-01-24T20,572,23.833333,88.81,False
2026-01-24T21,573,23.875,88.56,False
2026-01-24T22,574,23.916667,88.32,False
2026-01-24T23,575,23.958333,88.07,False
2026-01-25T00,576,24.0,87.83,False
2026-01-25T01,577,24.041667,87.58,False
2026-01-25T02,578,24.083333,87.34,False
2026-01-25T03,579,24.125,87.1,False
2026-01-25T04,580,24.166667,86.86,False
2026-01-25T05,581,24.208333,86.62,False
2026-01-25T06,582,24.25,86.37,False
2026-01-25T07,583,24.291667,86.13,False
2026-01-25T08,584,24.333333,85.89,False
2026-01-25T09,585,24.375,85.65,False
2026-01-25T10,586,24.416667,85.41,False
2026-01-25T11,587,24.458333,85.16,False
2026-01-25T12,588,24.5,84.92,False
2026-01-25T13,589,24.541667,84.68,False
2026-01-25T14,590,24.583333,84.44,False
2026-01-25T15,591,24.625,84.2,False
2026-01-25T16,592,24.666667,83.96,False
2026-01-25T17,593,24.708333,83.71,False
2026-01-25T18,594,24.75,83.47,False
2026-01-25T19,595,24.791667,83.23,False
2026-01-25T20,596,24.833333,82.99,False
2026-01-25T21,597,24.875,82.75,False
2026-01-25T22,598,24.916667,82.5,False
2026-01-25T23,599,24.958333,82.26,False
2026-01-26T00,600,25.0,82.02,False
2026-01-26T01,601,25.041667,81.78,False
2026-01-26T02,602,25.083333,81.53,False
2026-01-26T03,603,25.125,81.29,False
2026-01-26T04,604,25.166667,81.04,False
2026-01-26T05,605,25.208333,80.8,False
2026-01-26T06,606,25.25,80.55,False
2026-01-26T07,607,25.291667,80.31,False
2026-01-26T08,608,25.333333,80.06,False
2026-01-26T09,609,25.375,79.82,False
2026-01-26T10,610,25.416667,79.58,False
2026-01-26T11,611,25.458333,79.33,False
2026-01-26T12,612,25.5,79.09,False
2026-01-26T13,613,25.541667,78.84,False
2026-01-26T14,614,25.583333,78.6,False
2026-01-26T15,615,25.625,78.35,False
2026-01-26T16,616,25.666667,78.11,False
2026-01-26T17,617,25.708333,77.86,False
2026-01-26T18,618,25.75,77.62,False
2026-01-26T19,619,25.791667,77.37,False
2026-01-26T20,620,25.833333,77.13,False
2026-01-26T21,621,25.875,76.89,False
2026-01-26T22,622,25.916667,76.64,False
2026-01-26T23,623,25.958333,76.4,False
2026-01-27T00,624,26.0,76.15,False
2026-01-27T01,625,26.041667,75.92,False
2026-01-27T02,626,26.083333,75.68,False
2026-01-27T03,627,26.125,75.44,False
2026-01-27T04,628,26.166667,75.2,False
2026-01-27T05,629,26.208333,74.97,False
2026-01-27T06,630,26.25,74.73,False
2026-01-27T07,631,26.291667,74.49,False
2026-01-27T08,632,26.333333,74.26,False
2026-01-27T09,633,26.375,74.02,False
2026-01-27T10,634,26.416667,73.78,False
2026-01-27T11,635,26.458333,73.54,False
2026-01-27T12,636,26.5,73.31,False
2026-01-27T13,637,26.541667,73.07,False
2026-01-27T14,638,26.583333,72.83,False
2026-01-27T15,639,26.625,72.6,False
2026-01-27T16,640,26.666667,72.36,False
2026-01-27T17,641,26.708333,72.12,False
2026-01-27T18,642,26.75,71.89,False
2026-01-27T19,643,26.791667,71.65,False
